"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven22",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/wc-250gb-1gb-1-raven22.csv",,,,"Date:","08 Aug 2016 20:19:33 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.606,0.077,99.081,0.228,0.001,0.007,252402.174,294383.848,0.0,0.0,936534016.0,1679360.0,56631296.0,20036239360.0,0.0,0.079,
0.125,0.0,99.750,0.125,0.0,0.0,106496.0,0.0,14133.0,7482.0,935817216.0,1720320.0,55894016.0,20037652480.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4210688.0,229376.0,815.0,1177.0,935194624.0,1728512.0,56795136.0,20037365760.0,0.0,0.0,
0.125,0.125,99.626,0.125,0.0,0.0,40960.0,0.0,177.0,398.0,935010304.0,1740800.0,55951360.0,20038381568.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,0.0,30702.0,31255.0,934989824.0,1740800.0,54788096.0,20039565312.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,16384.0,393216.0,363.0,1035.0,934584320.0,1748992.0,54812672.0,20039938048.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,8192.0,0.0,177.0,398.0,933605376.0,1748992.0,53919744.0,20041809920.0,0.0,0.0,
0.0,0.125,98.875,1.0,0.0,0.0,8519680.0,188416.0,177.0,398.0,933748736.0,1773568.0,57024512.0,20038537216.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,353.0,1011.0,933457920.0,1773568.0,56127488.0,20039725056.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4349952.0,0.0,177.0,398.0,933093376.0,1785856.0,57077760.0,20039127040.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,466.0,1331.0,932204544.0,1785856.0,56180736.0,20040912896.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4194304.0,0.0,177.0,398.0,932442112.0,1785856.0,57077760.0,20039778304.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,73728.0,177.0,398.0,932065280.0,1802240.0,56168448.0,20041048064.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4243456.0,0.0,289.0,933.0,931885056.0,1806336.0,57098240.0,20040294400.0,0.0,0.0,
0.125,0.0,99.501,0.249,0.0,0.125,16384.0,0.0,6713.0,2398.0,930967552.0,1814528.0,56197120.0,20042104832.0,0.0,0.0,
11.514,4.881,64.831,18.523,0.0,0.250,5513216.0,0.0,3722702.0,339860.0,988291072.0,2043904.0,61317120.0,19979431936.0,0.0,0.0,
15.337,35.037,47.631,1.746,0.0,0.249,8192.0,0.0,1322591.0,110897.0,1033486336.0,2048000.0,62251008.0,19933298688.0,0.0,0.0,
40.640,5.296,36.330,17.118,0.0,0.616,4390912.0,40960.0,4096763.0,501360.0,1178451968.0,2154496.0,65998848.0,19784478720.0,0.0,0.0,
92.551,3.352,1.397,2.607,0.0,0.093,4194304.0,0.0,2336725.0,103528.0,1467617280.0,2154496.0,68685824.0,19492626432.0,0.0,0.0,
92.020,3.117,1.995,2.743,0.0,0.125,16384.0,2932736.0,1021333.0,46577.0,1676701696.0,2170880.0,69926912.0,19282284544.0,0.0,0.0,
65.668,4.869,7.990,20.849,0.125,0.499,0.0,0.0,3924977.0,177828.0,1879867392.0,2170880.0,72040448.0,19077005312.0,0.0,0.0,
85.144,2.622,3.246,8.739,0.0,0.250,57344.0,49152.0,4253533.0,242555.0,2047684608.0,2183168.0,74313728.0,18906902528.0,0.0,0.0,
97.900,1.400,0.700,0.0,0.0,0.0,8429568.0,0.0,458765.0,24897.0,2161250304.0,2191360.0,77774848.0,18789867520.0,0.0,0.0,
97.022,2.233,0.124,0.248,0.0,0.372,65536.0,0.0,1656330.0,109579.0,2218020864.0,2215936.0,81956864.0,18728890368.0,0.0,0.0,
91.521,5.112,2.369,0.748,0.0,0.249,4456448.0,2359296.0,4291073.0,335548.0,2385231872.0,2273280.0,84979712.0,18558599168.0,0.0,0.0,
79.290,6.154,9.704,4.615,0.0,0.237,76562432.0,0.0,976734.0,130291.0,3213123584.0,2379776.0,122318848.0,17693261824.0,0.0,0.0,
90.074,7.692,1.861,0.0,0.0,0.372,90931200.0,90112.0,4575.0,1445.0,4242948096.0,2486272.0,166080512.0,16619569152.0,0.0,0.0,
93.516,5.112,0.748,0.0,0.125,0.499,131612672.0,0.0,1052.0,1553.0,4964618240.0,2543616.0,231288832.0,15832633344.0,0.0,0.0,
96.988,2.169,0.482,0.0,0.0,0.361,108650496.0,606208.0,33756.0,7930.0,5159542784.0,2883584.0,283561984.0,15585095680.0,0.0,0.0,
98.500,1.250,0.125,0.0,0.0,0.125,47407104.0,1253376.0,2063.0,19898.0,5343850496.0,2977792.0,306688000.0,15377567744.0,0.0,0.0,
97.883,2.117,0.0,0.0,0.0,0.0,26664960.0,0.0,363.0,940.0,5380521984.0,3125248.0,319119360.0,15328317440.0,0.0,0.0,
98.377,1.373,0.125,0.0,0.0,0.125,8396800.0,98304.0,31291.0,7542.0,5478756352.0,3137536.0,322437120.0,15226753024.0,0.0,0.0,
99.875,0.125,0.0,0.0,0.0,0.0,4202496.0,0.0,399.0,2255.0,5471305728.0,3141632.0,323465216.0,15233171456.0,0.0,0.0,
99.529,0.353,0.118,0.0,0.0,0.0,0.0,450560.0,177.0,696.0,5488103424.0,3153920.0,322568192.0,15217258496.0,0.0,0.0,
99.064,0.702,0.117,0.0,0.0,0.117,12591104.0,688128.0,1375.0,15182.0,5490966528.0,3170304.0,327733248.0,15209213952.0,0.0,0.0,
