"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/wc-250gb-1gb-1-ravenleader.csv",,,,"Date:","08 Aug 2016 20:19:59 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.732,0.431,98.467,0.282,0.009,0.080,3380853.872,889350.959,0.0,0.0,3003117568.0,992690176.0,16802082816.0,233205760.0,0.0,0.082,
22.846,3.745,73.034,0.0,0.0,0.375,0.0,0.0,119660.0,110682.0,3070238720.0,992690176.0,16802951168.0,165216256.0,0.0,0.0,
27.750,2.250,69.625,0.250,0.0,0.125,0.0,3629056.0,233580.0,426976.0,3154644992.0,992768000.0,16802955264.0,80728064.0,0.0,0.0,
19.625,1.125,78.750,0.375,0.0,0.125,24576.0,802816.0,65931.0,106808.0,3171115008.0,992825344.0,16803028992.0,64126976.0,0.0,0.0,
11.486,0.499,88.015,0.0,0.0,0.0,0.0,139264.0,27727.0,300514.0,3173711872.0,992825344.0,16803045376.0,61513728.0,0.0,0.0,
7.615,0.499,91.511,0.0,0.0,0.375,0.0,16384.0,58500.0,218970.0,3176976384.0,992833536.0,16803065856.0,58220544.0,0.0,0.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,0.0,444096.0,7420531.0,3176886272.0,992833536.0,16803082240.0,58294272.0,0.0,0.0,
0.125,0.250,99.250,0.0,0.0,0.375,0.0,40960.0,308610.0,7262616.0,3176628224.0,992841728.0,16803074048.0,58552320.0,0.0,0.0,
0.250,0.250,99.126,0.0,0.125,0.250,0.0,180224.0,147181.0,3006872.0,3176218624.0,992849920.0,16803069952.0,58957824.0,0.0,0.0,
0.125,0.375,99.250,0.0,0.0,0.250,0.0,417792.0,299494.0,6456019.0,3175940096.0,992858112.0,16803086336.0,59211776.0,0.0,0.0,
0.249,0.374,99.252,0.0,0.0,0.125,0.0,0.0,186892.0,3900930.0,3175530496.0,992858112.0,16803086336.0,59621376.0,0.0,0.0,
0.375,0.125,99.250,0.0,0.0,0.250,0.0,0.0,169834.0,3814928.0,3175292928.0,992858112.0,16803090432.0,59854848.0,0.0,0.0,
0.874,0.125,98.876,0.0,0.0,0.125,0.0,32768.0,131437.0,2738468.0,3175235584.0,992866304.0,16803082240.0,59912192.0,0.0,0.0,
0.375,0.250,99.250,0.0,0.0,0.125,0.0,344064.0,114089.0,2310763.0,3174846464.0,992874496.0,16803090432.0,60284928.0,0.0,0.0,
0.999,0.250,98.752,0.0,0.0,0.0,0.0,180224.0,43774.0,405194.0,3174473728.0,992878592.0,16803385344.0,60358656.0,0.0,0.0,
0.999,0.250,98.627,0.0,0.0,0.125,0.0,0.0,35959.0,257285.0,3174334464.0,992878592.0,16803385344.0,60497920.0,0.0,0.0,
0.750,6.875,85.500,0.0,0.125,6.750,0.0,0.0,3248285.0,19459984.0,3177312256.0,993812480.0,16803704832.0,56266752.0,0.0,0.0,
0.249,7.223,82.939,0.125,0.249,9.215,0.0,40960.0,8750583.0,105016788.0,3176443904.0,993931264.0,16804507648.0,56213504.0,0.0,0.0,
0.125,9.250,75.375,0.0,0.500,14.750,98304.0,1785856.0,9380362.0,73549960.0,3175178240.0,993939456.0,16804655104.0,57323520.0,0.0,0.0,
0.125,3.755,90.488,0.125,0.250,5.257,0.0,5578752.0,9527101.0,109989758.0,3174752256.0,993947648.0,16804691968.0,57704448.0,0.0,0.0,
0.125,2.618,93.142,0.0,0.249,3.865,0.0,0.0,2944736.0,66362216.0,3174395904.0,993947648.0,16804691968.0,58060800.0,0.0,0.0,
0.125,3.500,90.625,0.0,0.125,5.625,0.0,0.0,3423585.0,76971302.0,3174387712.0,993947648.0,16804700160.0,58060800.0,0.0,0.0,
0.250,3.870,88.889,0.0,0.375,6.617,57344.0,32768.0,5078611.0,111281280.0,3174084608.0,993955840.0,16804737024.0,58318848.0,0.0,0.0,
0.125,2.750,94.250,0.0,0.0,2.875,0.0,24576.0,3955503.0,87706412.0,3173859328.0,993964032.0,16804757504.0,58515456.0,0.0,0.0,
0.499,2.743,93.142,0.0,0.125,3.491,0.0,974848.0,2455973.0,54802225.0,3174232064.0,993964032.0,16804806656.0,58093568.0,0.0,0.0,
0.625,3.250,91.0,0.0,0.250,4.875,0.0,0.0,3885797.0,86325630.0,3175260160.0,993964032.0,16804962304.0,56909824.0,0.0,0.0,
1.373,2.497,93.758,0.0,0.125,2.247,0.0,73728.0,3077882.0,57368503.0,3175960576.0,993980416.0,16805548032.0,55607296.0,0.0,0.0,
0.375,0.250,99.251,0.0,0.0,0.125,0.0,32768.0,727186.0,10972672.0,3175735296.0,993988608.0,16805740544.0,55631872.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,24576.0,74519.0,393097.0,3176378368.0,993988608.0,16805744640.0,54984704.0,0.0,0.0,
0.125,0.125,99.501,0.125,0.0,0.125,0.0,2449408.0,117587.0,159800.0,3176169472.0,993992704.0,16805822464.0,55111680.0,0.0,0.0,
0.250,0.250,99.501,0.0,0.0,0.0,0.0,0.0,215924.0,619632.0,3176337408.0,993992704.0,16805908480.0,54857728.0,0.0,0.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,215291.0,230700.0,3175907328.0,993992704.0,16806072320.0,55123968.0,0.0,0.0,
0.125,0.250,99.501,0.0,0.0,0.125,0.0,90112.0,259128.0,659258.0,3176226816.0,994004992.0,16806121472.0,54743040.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1433600.0,161095.0,81074.0,3175874560.0,994004992.0,16806346752.0,54870016.0,0.0,0.0,
0.249,0.125,99.377,0.125,0.125,0.0,0.0,2088960.0,81383.0,10822.0,3175837696.0,994013184.0,16806367232.0,54878208.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,71563.0,14312.0,3175366656.0,994013184.0,16806457344.0,55259136.0,0.0,0.0,
0.375,0.125,99.500,0.0,0.0,0.0,0.0,0.0,78363.0,23409.0,3175206912.0,994013184.0,16806473728.0,55402496.0,0.0,0.0,
