"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.754656,0.128531,98.9445,0.160813,0.001625,0.0100938,329167,329874,0,0,9.64816e+08,1.71686e+06,5.48805e+07,2.00097e+10,82.2853,145.596,
0.0625,0.0351562,99.6566,0.230312,0.0078125,0.0078125,1.76282e+06,56576,1714.69,1505.28,9.64526e+08,1.73478e+06,5.4825e+07,2.001e+10,0,0,
0.0585938,0.046875,99.6174,0.27325,0,0.00390625,2.67674e+06,87040,9932.22,10197.2,9.64056e+08,1.75578e+06,5.51535e+07,2.00101e+10,0,0,
0.0741875,0.0820312,99.684,0.140437,0,0.0195312,1.8816e+06,2816,47360,33394.3,9.63827e+08,1.76845e+06,5.50527e+07,2.00104e+10,0,0,
0.179531,0.113219,99.3913,0.288812,0,0.0273125,2.71462e+06,104192,131511,61867.8,9.63846e+08,1.78573e+06,5.55871e+07,2.00099e+10,0,0,
0.590406,0.125031,99.1479,0.125,0,0.0117188,1.87776e+06,346368,274735,53894.1,9.65017e+08,1.7993e+06,5.58034e+07,2.00085e+10,0,0,
1.02141,0.13275,98.6783,0.156,0,0.0116875,1.85549e+06,156416,179030,7868.03,9.66368e+08,1.80813e+06,5.57247e+07,2.00072e+10,0,0,
0.683594,0.0742188,99.0628,0.160062,0.00390625,0.015625,1.92102e+06,233984,169433,7280,9.67478e+08,1.81568e+06,5.59023e+07,2.00059e+10,0,0,
0.529969,0.0741563,99.2241,0.148406,0.0078125,0.0155937,2.8393e+06,8448,142887,6972.06,9.67916e+08,1.82003e+06,5.63553e+07,2.0005e+10,0,0,
0.608688,0.0624688,99.2743,0.0429062,0,0.0117188,1.7984e+06,0,117953,6656.66,9.67884e+08,1.82221e+06,5.63456e+07,2.0005e+10,0,0,
0.741313,0.0546563,99.1495,0.0429375,0,0.0117188,2.18317e+06,15104,105329,4629.12,9.68199e+08,1.8272e+06,5.64864e+07,2.00046e+10,0,0,
0.6805,0.058625,99.2103,0.0468438,0,0.00390625,1.78074e+06,17920,83615.6,3881.56,9.68445e+08,1.83232e+06,5.64265e+07,2.00044e+10,0,0,
1.02612,0.0936875,98.7556,0.105313,0.0078125,0.0117188,2.30989e+06,28928,69231.6,7428.25,9.69831e+08,1.84179e+06,5.6597e+07,2.00028e+10,0,0,
0.16,0.0468438,99.7152,0.0585,0.00390625,0.015625,1.59642e+06,9472,27293.8,18060.7,9.69689e+08,1.84589e+06,5.64548e+07,2.00031e+10,0,0,
2.055,0.534969,96.4582,0.893531,0,0.0585625,2.85594e+06,9728,68468.5,6433.69,9.72073e+08,1.89581e+06,5.68216e+07,2.00003e+10,0,0,
14.8559,8.15122,60.4778,16.1491,0.03125,0.334937,3.1849e+06,157952,1.73516e+06,445296,1.03183e+09,2.11584e+06,6.09679e+07,1.99362e+10,0,0,
23.6761,24.3431,46.7747,4.80962,0.0311875,0.365219,1.91258e+06,121344,2.81641e+06,329284,1.12006e+09,2.1289e+06,6.28655e+07,1.9846e+10,1664,0,
56.0542,6.14384,26.7955,10.5752,0.0268437,0.404406,1.98195e+06,485376,3.18093e+06,380567,1.31834e+09,2.24922e+06,6.5877e+07,1.96446e+10,0,0,
91.127,3.18391,2.91969,2.59406,0.00715625,0.167969,2.94323e+06,287488,3.14395e+06,189671,1.52201e+09,2.27008e+06,6.83583e+07,1.94384e+10,0,0,
93.8334,3.63616,1.0165,1.25934,0.0191562,0.235437,2.16397e+06,1.30278e+06,1.81219e+06,82434.5,1.7485e+09,2.27942e+06,7.07909e+07,1.92095e+10,0,0,
71.1097,3.889,11.4224,13.2227,0.0234062,0.332688,2.52109e+06,799488,3.69984e+06,169710,1.944e+09,2.28954e+06,7.44948e+07,1.90103e+10,0,0,
88.469,2.74388,5.13506,3.43613,0.00928125,0.206594,3.21434e+06,28672,3.36909e+06,165079,2.13266e+09,2.30413e+06,7.70495e+07,1.88191e+10,0,0,
96.1117,2.407,0.597219,0.706312,0.0216875,0.15625,4.01024e+06,209664,1.67122e+06,78109,2.26367e+09,2.32973e+06,8.02542e+07,1.86848e+10,0,0,
88.4416,4.23756,3.68509,3.27937,0.0233125,0.333187,1.02856e+07,219648,2.61529e+06,133410,2.41598e+09,2.36595e+06,8.79489e+07,1.85248e+10,0,0,
78.408,7.41144,8.48884,5.393,0.0156563,0.283031,3.97432e+07,1.26106e+06,2.75523e+06,372627,3.16849e+09,2.43853e+06,1.0956e+08,1.77506e+10,0,0,
86.2905,6.80178,4.10153,2.48194,0.0269062,0.297469,9.33844e+07,478720,869990,317898,4.20472e+09,2.53363e+06,1.54173e+08,1.66697e+10,0,0,
93.5242,4.64897,1.13984,0.215156,0.0114687,0.460125,1.37768e+08,172544,94472.6,7973.09,4.88279e+09,2.64666e+06,2.22885e+08,1.59228e+10,0,0,
95.0627,3.86459,0.575031,0.0645625,0.0276875,0.405406,1.25882e+08,350976,16188.6,8323.03,5.38875e+09,2.72e+06,2.83866e+08,1.53558e+10,0,0,
96.9612,2.41362,0.418313,0.007375,0.0175938,0.182156,5.23571e+07,383232,18094.7,6661.16,5.56326e+09,2.7456e+06,3.07888e+08,1.51572e+10,0,0,
97.8552,1.72381,0.338844,0.0116875,0.0146875,0.0559063,2.33037e+07,434944,14588.6,9193.38,5.60879e+09,2.75712e+06,3.18533e+08,1.5101e+10,0,0,
98.858,0.933781,0.177938,0,0.00665625,0.0236563,6.15219e+06,257536,18323.8,8740.5,5.61366e+09,2.76326e+06,3.20573e+08,1.50941e+10,0,0,
99.498,0.272625,0.214125,0,0.00390625,0.0113125,3.7568e+06,236544,4790.38,4092.09,5.61354e+09,2.77261e+06,3.21435e+08,1.50933e+10,0,0,
99.0601,0.586875,0.326219,0.00384375,0,0.0229687,5.44998e+06,103680,1127.75,3290.69,5.63863e+09,2.78515e+06,3.23331e+08,1.50663e+10,0,0,
98.7403,0.942687,0.192938,0.011125,0.01525,0.09775,2.13279e+07,94720,2700.94,5693.56,5.69209e+09,2.81216e+06,3.3311e+08,1.50031e+10,0,0,
97.0484,2.24325,0.452844,0.00390625,0.0115937,0.240094,6.18458e+07,328448,5287.66,6571.91,5.97483e+09,2.85875e+06,3.63304e+08,1.46901e+10,0,0,
95.9586,3.26262,0.425344,0.00703125,0.0200938,0.326469,9.90669e+07,378368,2383.16,4722.5,6.38172e+09,2.91738e+06,4.1237e+08,1.42341e+10,0,0,
96.564,3.02753,0.110937,0,0.0245625,0.273,8.0386e+07,431104,3792.78,6009.47,6.7438e+09,2.96192e+06,4.50849e+08,1.38335e+10,0,0,
97.4475,2.00053,0.378156,0,0.00390625,0.169969,4.62461e+07,634880,5372.06,3312.53,6.92502e+09,2.98867e+06,4.72804e+08,1.36303e+10,0,0,
98.3401,1.19413,0.395906,0.00390625,0,0.0660312,2.44116e+07,147712,2628.81,2544.5,7.001e+09,3.00019e+06,4.83903e+08,1.35432e+10,0,0,
98.8183,0.744687,0.370969,0.00390625,0.0117188,0.0505937,1.49786e+07,79360,2093.22,4028.88,7.02613e+09,3.01056e+06,4.90354e+08,1.35116e+10,0,0,
99.3329,0.410875,0.209813,0,0,0.0464688,1.27926e+07,85504,6167.16,61133.8,7.04245e+09,3.02362e+06,4.95786e+08,1.34898e+10,0,0,
98.9817,0.768187,0.148594,0.0036875,0.00390625,0.0940313,2.85578e+07,169472,1895.31,2561.62,7.07644e+09,3.06419e+06,5.09256e+08,1.34423e+10,0,0,
98.1546,1.391,0.211812,0.00390625,0.01925,0.219594,5.59584e+07,260864,2451.69,4847.53,7.12789e+09,3.10682e+06,5.36553e+08,1.33635e+10,0,0,
98.0113,1.44288,0.255656,0.00390625,0.0115625,0.274781,7.21084e+07,352768,5377.88,3355.06,7.23977e+09,3.15123e+06,5.71402e+08,1.32168e+10,0,0,
98.1536,1.44088,0.146344,0,0.014625,0.244563,7.14422e+07,330752,5646.62,3712.66,7.31251e+09,3.19642e+06,6.06047e+08,1.31093e+10,0,0,
98.372,1.37963,0.0785312,0.00390625,0.00390625,0.162219,4.63726e+07,392960,3442.38,5019.38,7.36004e+09,3.22778e+06,6.28276e+08,1.30395e+10,0,0,
98.5032,0.944312,0.428688,0.00390625,0.00778125,0.112281,3.26574e+07,482816,6156.75,3620.69,7.37718e+09,3.25158e+06,6.43565e+08,1.30071e+10,0,0,
99.0344,0.650375,0.204813,0,0.0114687,0.0990625,2.69443e+07,404736,4741.56,4902.75,7.39407e+09,3.27654e+06,6.55937e+08,1.29778e+10,0,0,
99.108,0.707875,0.0875625,0,0.00390625,0.0927812,2.24937e+07,400384,7081.94,5414.88,7.41149e+09,3.29613e+06,6.66519e+08,1.29498e+10,0,0,
99.1642,0.567531,0.117656,0,0.0195312,0.13125,4.07007e+07,185216,5195.34,11324.1,7.41347e+09,3.32992e+06,6.85757e+08,1.29285e+10,0,0,
98.6524,0.750031,0.384,0,0.0075625,0.206156,5.70186e+07,347008,2781,8315.25,7.41447e+09,3.37126e+06,7.13356e+08,1.28999e+10,0,0,
98.6089,0.879844,0.28125,0.00390625,0.00390625,0.222375,6.35026e+07,283392,5562.16,8942.28,7.42038e+09,3.41466e+06,7.44086e+08,1.28632e+10,0,0,
98.6674,0.731937,0.409938,0.00390625,0.0078125,0.179125,5.53144e+07,475136,3733.66,11893.6,7.42349e+09,3.44845e+06,7.70889e+08,1.28333e+10,0,0,
99.1618,0.569,0.0975625,0,0.0117188,0.159875,4.41917e+07,400128,1763.31,9187.75,7.42602e+09,3.4775e+06,7.91904e+08,1.28097e+10,0,0,
99.0974,0.596187,0.17075,0,0,0.135625,3.91432e+07,136448,4865.47,8022.06,7.4306e+09,3.50195e+06,8.10248e+08,1.27867e+10,0,0,
99.2279,0.476781,0.163937,0,0.0078125,0.123875,3.19063e+07,176384,2885.56,4218.88,7.43123e+09,3.52538e+06,8.25386e+08,1.27709e+10,0,0,
99.2088,0.500687,0.146344,0,0.0117188,0.132594,3.25588e+07,207360,2906.06,4550.69,7.43352e+09,3.55315e+06,8.4069e+08,1.27533e+10,0,0,
98.9932,0.719312,0.128594,0,0.015,0.143906,4.42737e+07,147200,5739.5,5698.47,7.43477e+09,3.584e+06,8.6201e+08,1.27307e+10,0,0,
98.9503,0.735937,0.117125,0,0.00675,0.189844,5.47917e+07,398080,4402.59,8465.75,7.43647e+09,3.61882e+06,8.88619e+08,1.27024e+10,0,0,
98.8467,0.777656,0.162094,0,0.00390625,0.20975,5.83309e+07,301824,2561.53,7343.38,7.43815e+09,3.65568e+06,9.16756e+08,1.26725e+10,0,0,
98.855,0.688156,0.278875,0,0.0078125,0.170219,5.14982e+07,165632,4535.94,3921.34,7.43926e+09,3.68768e+06,9.41578e+08,1.26466e+10,0,0,
99.0488,0.660281,0.0918125,0,0.0117188,0.187375,4.62326e+07,390656,2934.53,4310.66,7.44154e+09,3.72326e+06,9.63452e+08,1.26224e+10,0,0,
99.158,0.581156,0.110312,0,0.0114687,0.139125,3.90349e+07,409344,1970.31,5008.75,7.44429e+09,3.75731e+06,9.81879e+08,1.26012e+10,0,0,
99.1047,0.681062,0.085875,0,0.0078125,0.120688,3.62844e+07,457728,4982,3972.22,7.44543e+09,3.78278e+06,9.98985e+08,1.25829e+10,0,0,
99.1056,0.575562,0.150625,0,0.0228125,0.145594,3.54926e+07,255488,3541.25,4339.62,7.44621e+09,3.80941e+06,1.01618e+09,1.25649e+10,0,0,
99.0767,0.63875,0.107719,0,0,0.176937,4.49073e+07,232960,2179.53,3006.59,7.44628e+09,3.84051e+06,1.03772e+09,1.25432e+10,0,0,
98.6287,0.849063,0.344687,0,0.0115625,0.166156,4.80645e+07,237568,5047.31,3106.31,7.44787e+09,3.87469e+06,1.06087e+09,1.25185e+10,0,0,
98.7666,0.744094,0.280281,0,0.0117188,0.197281,5.3706e+07,338176,4298.62,4304.09,7.44904e+09,3.90758e+06,1.08694e+09,1.24912e+10,0,0,
98.6616,0.984594,0.151656,0,0.0155312,0.186656,5.51836e+07,435200,2343.09,2890.78,7.45045e+09,3.94227e+06,1.11319e+09,1.24635e+10,0,0,
98.9449,0.781156,0.107688,0,0.003875,0.162344,4.3753e+07,267520,5422.97,19002.1,7.45236e+09,3.97133e+06,1.13409e+09,1.24407e+10,0,0,
99.0828,0.606062,0.148156,0,0.015625,0.147563,3.77272e+07,185856,4126.28,4150.66,7.45297e+09,3.99846e+06,1.15203e+09,1.24221e+10,0,0,
98.7713,0.587,0.466781,0.00390625,0.0078125,0.163437,4.13056e+07,212736,1809.12,2725.47,7.45355e+09,4.02675e+06,1.17155e+09,1.2402e+10,0,0,
98.625,0.89,0.318125,0,0.0155,0.151531,4.40865e+07,253696,4285.69,3012.69,7.4538e+09,4.05555e+06,1.19286e+09,1.23804e+10,0,0,
98.8732,0.81575,0.120719,0.0155625,0.0078125,0.167156,4.48589e+07,350208,3558.47,4088.97,7.45424e+09,4.09472e+06,1.21416e+09,1.23586e+10,0,0,
99.122,0.618969,0.101281,0,0,0.157812,4.89736e+07,252672,1525,3836.66,7.45421e+09,4.14195e+06,1.2377e+09,1.2335e+10,0,0,
98.8344,0.87475,0.0892813,0,0.0194687,0.182406,5.45787e+07,294144,4217.28,3327.28,7.45448e+09,4.17946e+06,1.26419e+09,1.23082e+10,0,0,
98.9582,0.717531,0.174563,0,0.0114062,0.138469,4.50788e+07,199168,4340.75,5085.91,7.45399e+09,4.22208e+06,1.28571e+09,1.22872e+10,0,0,
99.1977,0.543906,0.092875,0,0.0114062,0.154125,4.22915e+07,407040,2845.47,3681.69,7.4539e+09,4.25907e+06,1.30557e+09,1.22674e+10,0,0,
98.8119,0.761969,0.267969,0,0,0.158187,4.58212e+07,430592,5379.12,8493.53,7.45428e+09,4.28941e+06,1.3275e+09,1.2245e+10,0,0,
98.9755,0.607344,0.284969,0,0.00390625,0.128281,4.1236e+07,247040,5029.69,9115.62,7.45455e+09,4.33395e+06,1.34717e+09,1.2225e+10,0,0,
99.1515,0.549969,0.128156,0,0.00390625,0.166719,3.89632e+07,217600,1985.97,5841,7.45544e+09,4.36083e+06,1.3657e+09,1.22056e+10,0,0,
98.8599,0.738531,0.238469,0,0.00390625,0.159094,4.6316e+07,332800,3846.44,5435.44,7.45672e+09,4.40512e+06,1.38781e+09,1.21821e+10,0,0,
98.8339,0.836219,0.114906,0,0.0117188,0.2035,5.34182e+07,374784,4476.31,11739.4,7.4583e+09,4.44083e+06,1.41391e+09,1.21544e+10,0,0,
99.044,0.634125,0.135813,0,0.0175625,0.168469,5.33245e+07,503296,1952.81,8658.91,7.45923e+09,4.47501e+06,1.43957e+09,1.21278e+10,0,0,
99.0864,0.633,0.12025,0,0.0078125,0.152531,3.78957e+07,234496,4635.34,15369.4,7.45936e+09,4.50547e+06,1.45755e+09,1.21097e+10,0,0,
98.7361,0.802437,0.303219,0,0.011625,0.146781,4.47086e+07,272896,4588.97,8057.03,7.45982e+09,4.54067e+06,1.47867e+09,1.2088e+10,0,0,
98.7896,0.578562,0.45475,0,0.00390625,0.173187,4.55593e+07,285440,2340.16,4829.09,7.45966e+09,4.57664e+06,1.50047e+09,1.20664e+10,0,0,
98.7993,0.736563,0.281688,0,0.0117188,0.170906,4.39107e+07,261632,4731.34,9988.03,7.46032e+09,4.60518e+06,1.5214e+09,1.20448e+10,0,0,
98.9818,0.69975,0.163062,0.00390625,0.0117188,0.139875,4.44621e+07,423168,5496.44,13844.9,7.4601e+09,4.6336e+06,1.54307e+09,1.20233e+10,0,0,
99.1614,0.589094,0.0685,0,0.00390625,0.17725,4.8543e+07,170240,2758.03,9472.88,7.46147e+09,4.66714e+06,1.56615e+09,1.19988e+10,0,0,
98.8769,0.834438,0.140469,0.00390625,0,0.144313,4.25413e+07,288512,4550.34,5005.22,7.46156e+09,4.69517e+06,1.58622e+09,1.19786e+10,0,0,
98.8407,0.711719,0.257844,0,0.0195312,0.170375,4.75172e+07,223232,4968.16,6980.16,7.46156e+09,4.72653e+06,1.60917e+09,1.19556e+10,0,0,
99.0725,0.649437,0.0933125,0.0078125,0.0192812,0.157781,4.46682e+07,255488,2640.28,11577.2,7.46317e+09,4.75546e+06,1.63089e+09,1.19323e+10,0,0,
