"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven03",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wc-250gb-2gb-1-raven03.csv",,,,"Date:","14 Aug 2016 18:11:55 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
1.361,0.241,98.110,0.263,0.003,0.023,1096066.526,1024897.078,0.0,0.0,1151332352.0,5087232.0,53772288.0,19820892160.0,0.0,0.065,196608.0,21475966976.0,
0.125,0.250,87.500,12.0,0.0,0.125,1425408.0,0.0,991.0,1197.0,1150464000.0,5804032.0,52895744.0,19821920256.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.499,87.406,11.845,0.0,0.249,1409024.0,0.0,1585.0,403.0,1150574592.0,6504448.0,51699712.0,19822305280.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.499,87.266,11.985,0.0,0.125,9887744.0,1646592.0,817.0,403.0,1150570496.0,7221248.0,54996992.0,19818295296.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.500,87.500,11.875,0.0,0.125,1417216.0,90112.0,481.0,937.0,1150615552.0,7942144.0,53923840.0,19818602496.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.250,86.891,12.484,0.0,0.250,5627904.0,0.0,369.0,403.0,1150398464.0,8585216.0,54771712.0,19817328640.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.375,87.375,12.125,0.0,0.125,1310720.0,0.0,1969.0,403.0,1150128128.0,9244672.0,53735424.0,19817975808.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.375,87.516,11.985,0.0,0.125,5709824.0,0.0,1023.0,937.0,1149784064.0,9998336.0,55160832.0,19816140800.0,0.0,0.0,196608.0,21475966976.0,
0.125,0.250,87.391,11.985,0.0,0.250,1449984.0,0.0,2728.0,403.0,1149759488.0,10723328.0,54046720.0,19816554496.0,0.0,0.0,196608.0,21475966976.0,
0.0,0.500,87.500,11.875,0.0,0.125,5619712.0,1376256.0,561.0,403.0,1149440000.0,11440128.0,54845440.0,19815358464.0,0.0,0.0,196608.0,21475966976.0,
