"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmgs --output /scratch2/wb/eval/hadoop_dstat/wc-250gb-2gb-1-ravenleader.csv",,,,"Date:","14 Aug 2016 18:11:48 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.719,0.456,98.368,0.318,0.010,0.129,4288250.967,812372.874,0.0,0.0,2917257216.0,1424289792.0,12009836544.0,4679712768.0,249.968,5312.465,830578688.0,20143841280.0,
19.801,1.619,78.331,0.0,0.0,0.249,0.0,0.0,82804.0,81832.0,2976829440.0,1424289792.0,12010635264.0,4619341824.0,0.0,0.0,830578688.0,20143841280.0,
28.839,1.748,69.288,0.0,0.0,0.125,0.0,0.0,101032.0,122908.0,3066081280.0,1424289792.0,12010766336.0,4529958912.0,0.0,0.0,830578688.0,20143841280.0,
18.625,1.250,79.875,0.125,0.0,0.125,0.0,647168.0,143844.0,174670.0,3086819328.0,1424289792.0,12010766336.0,4509220864.0,0.0,0.0,830578688.0,20143841280.0,
6.633,1.126,92.115,0.0,0.0,0.125,0.0,81920.0,74100.0,347165.0,3089240064.0,1424289792.0,12010774528.0,4506791936.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.624,98.627,0.0,0.0,0.250,0.0,2678784.0,166233.0,226614.0,3088347136.0,1424310272.0,12010758144.0,4507680768.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,88454.0,493699.0,3086905344.0,1424318464.0,12010786816.0,4509085696.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,8192.0,27123.0,14202.0,3086888960.0,1424318464.0,12010786816.0,4509102080.0,0.0,0.0,830578688.0,20143841280.0,
9.476,0.873,89.401,0.125,0.0,0.125,0.0,507904.0,41855.0,160214.0,3119886336.0,1424322560.0,12010799104.0,4476088320.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.375,98.876,0.0,0.0,0.499,0.0,0.0,80332.0,382780.0,3120254976.0,1424326656.0,12010799104.0,4475715584.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.125,99.375,0.0,0.0,0.125,0.0,40960.0,407251.0,6928726.0,3119849472.0,1424326656.0,12010815488.0,4476104704.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.375,99.126,0.0,0.125,0.250,0.0,32768.0,111022.0,2344898.0,3118833664.0,1424326656.0,12010815488.0,4477120512.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.250,99.249,0.125,0.0,0.250,0.0,2334720.0,255358.0,5788442.0,3117547520.0,1424343040.0,12010864640.0,4478341120.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.375,99.126,0.0,0.0,0.375,0.0,458752.0,182817.0,4049606.0,3117936640.0,1424343040.0,12010864640.0,4477952000.0,0.0,0.0,830578688.0,20143841280.0,
0.499,0.250,99.126,0.0,0.0,0.125,0.0,0.0,254120.0,5369079.0,3117797376.0,1424343040.0,12010868736.0,4478087168.0,0.0,0.0,830578688.0,20143841280.0,
0.750,0.250,98.875,0.0,0.0,0.125,0.0,0.0,208947.0,4449110.0,3117797376.0,1424343040.0,12010868736.0,4478087168.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,49152.0,21691.0,7832.0,3117019136.0,1424343040.0,12010868736.0,4478865408.0,0.0,0.0,830578688.0,20143841280.0,
0.249,0.125,99.377,0.0,0.0,0.249,0.0,106496.0,119770.0,2635958.0,3117019136.0,1424347136.0,12010864640.0,4478865408.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,327680.0,133988.0,2803852.0,3116609536.0,1424347136.0,12010868736.0,4479270912.0,0.0,0.0,830578688.0,20143841280.0,
0.374,0.249,99.127,0.125,0.0,0.125,0.0,40960.0,113413.0,2220197.0,3116998656.0,1424347136.0,12010868736.0,4478881792.0,0.0,0.0,830578688.0,20143841280.0,
0.876,0.125,98.999,0.0,0.0,0.0,0.0,0.0,43418.0,424936.0,3117760512.0,1424347136.0,12011167744.0,4477820928.0,0.0,0.0,830578688.0,20143841280.0,
1.124,0.874,97.378,0.0,0.0,0.624,0.0,73728.0,82948.0,1799131.0,3118321664.0,1424384000.0,12011077632.0,4477313024.0,0.0,0.0,830578688.0,20143841280.0,
0.374,3.367,89.900,0.0,0.249,6.110,0.0,40960.0,3776723.0,36035727.0,3118944256.0,1424752640.0,12011249664.0,4476149760.0,0.0,0.0,830578688.0,20143841280.0,
0.250,6.008,84.481,0.125,0.125,9.011,0.0,4972544.0,3563089.0,33680356.0,3119824896.0,1424826368.0,12011319296.0,4475125760.0,0.0,0.0,830578688.0,20143841280.0,
0.249,3.242,92.893,0.0,0.249,3.367,0.0,0.0,5744097.0,66919119.0,3119620096.0,1424838656.0,12011638784.0,4474998784.0,0.0,0.0,830578688.0,20143841280.0,
0.125,2.0,95.375,0.0,0.0,2.500,0.0,0.0,2699679.0,32607997.0,3119570944.0,1424838656.0,12011671552.0,4475015168.0,0.0,0.0,830578688.0,20143841280.0,
0.0,2.372,94.132,0.0,0.250,3.246,0.0,0.0,2050037.0,45582507.0,3119570944.0,1424842752.0,12011671552.0,4475011072.0,0.0,0.0,830578688.0,20143841280.0,
0.250,1.748,95.256,0.0,0.0,2.747,0.0,106496.0,2774033.0,62292775.0,3119820800.0,1424846848.0,12011671552.0,4474757120.0,0.0,0.0,830578688.0,20143841280.0,
0.125,1.502,96.496,0.0,0.125,1.752,0.0,3055616.0,1590883.0,34464780.0,3119910912.0,1424846848.0,12011749376.0,4474589184.0,0.0,0.0,830578688.0,20143841280.0,
0.374,1.995,95.012,0.0,0.125,2.494,0.0,0.0,2213151.0,47022067.0,3120050176.0,1424846848.0,12011782144.0,4474417152.0,0.0,0.0,830578688.0,20143841280.0,
1.0,1.625,95.750,0.0,0.125,1.500,0.0,0.0,1604413.0,27858439.0,3120222208.0,1424846848.0,12012134400.0,4473892864.0,0.0,0.0,830578688.0,20143841280.0,
0.624,0.874,97.378,0.0,0.0,1.124,0.0,0.0,1438101.0,26206519.0,3120541696.0,1424846848.0,12012355584.0,4473352192.0,0.0,0.0,830578688.0,20143841280.0,
0.625,0.625,98.250,0.0,0.125,0.375,0.0,32768.0,854624.0,15700312.0,3120467968.0,1424846848.0,12012703744.0,4473077760.0,0.0,0.0,830578688.0,20143841280.0,
0.374,0.499,98.504,0.249,0.0,0.374,0.0,3268608.0,439362.0,8845372.0,3120455680.0,1424846848.0,12012732416.0,4473061376.0,0.0,0.0,830578688.0,20143841280.0,
0.375,0.375,98.875,0.0,0.0,0.375,0.0,0.0,273419.0,4042814.0,3120353280.0,1424846848.0,12012838912.0,4473057280.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,0.0,332409.0,5139230.0,3120599040.0,1424846848.0,12012863488.0,4472786944.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.625,0.0,0.0,0.125,0.0,0.0,180107.0,2338346.0,3120287744.0,1424846848.0,12012969984.0,4472991744.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.249,99.501,0.0,0.0,0.125,0.0,32768.0,77595.0,885972.0,3120287744.0,1424846848.0,12012969984.0,4472991744.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,1130496.0,73089.0,97877.0,3120349184.0,1424846848.0,12013035520.0,4472864768.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,39579.0,67595.0,3120472064.0,1424846848.0,12013039616.0,4472737792.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,43190.0,47419.0,3120009216.0,1424846848.0,12013047808.0,4473192448.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,38154.0,16915.0,3119882240.0,1424846848.0,12013047808.0,4473319424.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,32768.0,38832.0,46285.0,3119755264.0,1424846848.0,12013047808.0,4473446400.0,0.0,0.0,830578688.0,20143841280.0,
0.249,0.125,99.626,0.0,0.0,0.0,0.0,139264.0,34475.0,13335.0,3119763456.0,1424846848.0,12013047808.0,4473438208.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,28484.0,11211.0,3119403008.0,1424846848.0,12013047808.0,4473798656.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,24576.0,31622.0,11421.0,3119308800.0,1424846848.0,12013047808.0,4473892864.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.625,0.0,0.125,0.0,0.0,0.0,653653.0,28877.0,3119476736.0,1424850944.0,12013637632.0,4473131008.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,32768.0,26880.0,9229.0,3119476736.0,1424850944.0,12013637632.0,4473131008.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,25476.0,8579.0,3119280128.0,1424850944.0,12013637632.0,4473327616.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,28200.0,9950.0,3119529984.0,1424850944.0,12013637632.0,4473077760.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,32768.0,25102.0,8803.0,3119513600.0,1424850944.0,12013637632.0,4473094144.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.125,0.0,0.0,0.0,1245184.0,27878.0,8555.0,3119640576.0,1424850944.0,12013637632.0,4472967168.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,57344.0,27595.0,9377.0,3119509504.0,1424850944.0,12013645824.0,4473090048.0,0.0,0.0,830578688.0,20143841280.0,
0.249,0.125,99.626,0.0,0.0,0.0,0.0,57344.0,26710.0,10355.0,3119665152.0,1424850944.0,12013645824.0,4472934400.0,0.0,0.0,830578688.0,20143841280.0,
0.0,0.0,99.875,0.0,0.0,0.125,0.0,0.0,28443.0,9840.0,3119640576.0,1424850944.0,12013645824.0,4472958976.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.750,0.0,0.0,0.0,0.0,49152.0,30074.0,10904.0,3119640576.0,1424850944.0,12013645824.0,4472958976.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,59718.0,12906.0,3119616000.0,1424850944.0,12013674496.0,4472954880.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,32768.0,83906.0,14043.0,3119808512.0,1424850944.0,12013674496.0,4472762368.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.125,0.0,0.0,0.0,2965504.0,158265.0,26775.0,3121045504.0,1424850944.0,12013805568.0,4471394304.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,215972.0,24001.0,3120984064.0,1424850944.0,12013867008.0,4471394304.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,261194.0,23230.0,3120906240.0,1424850944.0,12014096384.0,4471242752.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.626,0.0,0.0,0.125,0.0,0.0,102397.0,13160.0,3120832512.0,1424850944.0,12014161920.0,4471250944.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,32768.0,166064.0,21003.0,3120762880.0,1424850944.0,12014333952.0,4471148544.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.125,99.501,0.125,0.0,0.0,0.0,2383872.0,109982.0,16005.0,3120873472.0,1424850944.0,12014358528.0,4471013376.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,138541.0,17773.0,3120824320.0,1424850944.0,12014460928.0,4470960128.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,135550.0,16583.0,3120881664.0,1424850944.0,12014489600.0,4470874112.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,72534.0,14723.0,3120795648.0,1424850944.0,12014575616.0,4470874112.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.0,0.125,0.0,0.0,32768.0,85997.0,15659.0,3121016832.0,1424850944.0,12014608384.0,4470620160.0,0.0,0.0,830578688.0,20143841280.0,
0.250,0.0,99.625,0.125,0.0,0.0,0.0,1368064.0,129894.0,76701.0,3120914432.0,1424850944.0,12014669824.0,4470661120.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,100670.0,15927.0,3120996352.0,1424850944.0,12014702592.0,4470546432.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,96213.0,17135.0,3120910336.0,1424850944.0,12014788608.0,4470546432.0,0.0,0.0,830578688.0,20143841280.0,
0.125,0.0,99.750,0.0,0.0,0.125,0.0,0.0,32435.0,11719.0,3121164288.0,1424850944.0,12014788608.0,4470292480.0,0.0,0.0,830578688.0,20143841280.0,
