"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"swap",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out","used","free"
0.0742188,0.0429688,99.6607,0.206813,0.00390625,0.0117188,2.13146e+06,9984,3476.47,1485.31,9.26523e+08,1.71853e+06,5.53475e+07,2.00475e+10,0,0,6.83315e+06,2.14693e+10,
0.046875,0.0507812,99.7153,0.175531,0.00390625,0.0078125,2.14323e+06,32000,1593.66,608.781,9.26343e+08,1.72787e+06,5.54168e+07,2.00476e+10,0,0,6.83315e+06,2.14693e+10,
0.078125,0.0585938,99.4536,0.398156,0.00390625,0.0078125,2.20134e+06,12288,32405.5,22517,9.26212e+08,1.75078e+06,5.54533e+07,2.00477e+10,0,0,6.83315e+06,2.14693e+10,
0.144406,0.1015,99.3795,0.359063,0,0.015625,2.21158e+06,141312,30508.3,15164.4,9.26335e+08,1.7705e+06,5.56481e+07,2.00473e+10,0,0,6.83315e+06,2.14693e+10,
0.491656,0.0975938,99.1259,0.25375,0.00390625,0.0273438,2.13478e+06,478464,325419,61681.7,9.27802e+08,1.7911e+06,5.58884e+07,2.00456e+10,0,0,6.83315e+06,2.14693e+10,
0.816406,0.0898438,98.9767,0.105437,0.00390625,0.0078125,2.14835e+06,1792,208932,26550.9,9.29324e+08,1.79443e+06,5.61536e+07,2.00438e+10,0,0,6.83315e+06,2.14693e+10,
0.611875,0.07025,99.1933,0.0974688,0,0.0273125,2.12685e+06,84992,140930,6252.25,9.30538e+08,1.79725e+06,5.62653e+07,2.00425e+10,0,0,6.83315e+06,2.14693e+10,
0.479406,0.0624375,99.3607,0.0780312,0.00390625,0.0155937,2.11789e+06,34816,153030,7320.22,9.30951e+08,1.79942e+06,5.6457e+07,2.00419e+10,0,0,6.83315e+06,2.14693e+10,
0.53125,0.0585938,99.3049,0.0741875,0.0078125,0.0234375,2.13069e+06,71424,111040,5301.41,9.31176e+08,1.80416e+06,5.65937e+07,2.00415e+10,0,0,6.83315e+06,2.14693e+10,
0.620344,0.054625,99.2626,0.0429062,0,0.0195312,2.1143e+06,31488,117910,5340.06,9.31529e+08,1.81043e+06,5.67041e+07,2.0041e+10,0,0,6.83315e+06,2.14693e+10,
