"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/wc-250gb-4mb-1-ravenleader.csv",,,,"Date:","08 Aug 2016 17:32:28 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.729,0.421,98.483,0.282,0.009,0.075,3394419.555,875999.765,0.0,0.0,2805067776.0,668811264.0,16436129792.0,1121087488.0,0.0,0.082,
21.669,3.113,74.720,0.0,0.0,0.498,0.0,0.0,90533.0,63304.0,2865238016.0,668811264.0,16436953088.0,1060093952.0,0.0,0.0,
27.660,1.377,70.839,0.0,0.0,0.125,0.0,81920.0,268809.0,476914.0,2954403840.0,668819456.0,16437063680.0,970809344.0,0.0,0.0,
18.602,0.874,80.524,0.0,0.0,0.0,0.0,24576.0,26690.0,15768.0,2975121408.0,668819456.0,16437075968.0,950079488.0,0.0,0.0,
39.826,0.744,59.305,0.0,0.0,0.124,0.0,409600.0,26720.0,299273.0,3029213184.0,668823552.0,16437080064.0,895979520.0,0.0,0.0,
25.810,1.496,72.195,0.125,0.125,0.249,0.0,2621440.0,32034.0,15650.0,3156836352.0,668827648.0,16437080064.0,768352256.0,0.0,0.0,
38.706,2.930,58.364,0.0,0.0,0.0,0.0,0.0,20436.0,10450.0,3448905728.0,668827648.0,16437080064.0,476282880.0,0.0,0.0,
71.833,1.923,26.018,0.226,0.0,0.0,0.0,2334720.0,17088.0,8439.0,3563778048.0,668852224.0,16437088256.0,361377792.0,0.0,0.0,
14.713,0.125,85.037,0.0,0.0,0.125,0.0,0.0,21951.0,11135.0,3564032000.0,668852224.0,16437088256.0,361123840.0,0.0,0.0,
12.500,0.0,87.500,0.0,0.0,0.0,0.0,114688.0,23964.0,8624.0,3563646976.0,668852224.0,16437088256.0,361508864.0,0.0,0.0,
12.609,0.125,87.266,0.0,0.0,0.0,0.0,0.0,18473.0,6994.0,3563536384.0,668852224.0,16437088256.0,361619456.0,0.0,0.0,
12.500,0.0,87.500,0.0,0.0,0.0,0.0,32768.0,24487.0,8128.0,3560214528.0,668852224.0,16437088256.0,364941312.0,0.0,0.0,
12.609,0.0,87.391,0.0,0.0,0.0,0.0,106496.0,20038.0,7746.0,3560214528.0,668860416.0,16437080064.0,364941312.0,0.0,0.0,
12.609,0.0,87.266,0.0,0.0,0.125,0.0,0.0,17376.0,6984.0,3559997440.0,668860416.0,16437088256.0,365150208.0,0.0,0.0,
12.625,0.125,87.250,0.0,0.0,0.0,0.0,1400832.0,23171.0,8454.0,3561259008.0,668864512.0,16437084160.0,363888640.0,0.0,0.0,
13.358,0.125,86.517,0.0,0.0,0.0,0.0,32768.0,23310.0,12912.0,3560755200.0,668864512.0,16437088256.0,364388352.0,0.0,0.0,
25.875,0.625,73.375,0.0,0.0,0.125,0.0,57344.0,34418.0,2397599.0,3602657280.0,668864512.0,16437088256.0,322486272.0,0.0,0.0,
6.866,0.375,92.509,0.0,0.0,0.250,0.0,57344.0,84143.0,6918238.0,3605733376.0,668872704.0,16437104640.0,319385600.0,0.0,0.0,
0.125,0.625,98.750,0.0,0.0,0.500,0.0,147456.0,252866.0,3967155.0,3605725184.0,668889088.0,16437096448.0,319385600.0,0.0,0.0,
0.125,0.375,99.251,0.0,0.0,0.250,0.0,417792.0,350108.0,6403674.0,3605557248.0,668897280.0,16437121024.0,319520768.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,0.0,238304.0,5382594.0,3605684224.0,668897280.0,16437121024.0,319393792.0,0.0,0.0,
0.250,0.250,99.249,0.0,0.0,0.250,0.0,0.0,291273.0,6451592.0,3605966848.0,668897280.0,16437125120.0,319107072.0,0.0,0.0,
0.249,0.249,99.129,0.0,0.124,0.249,0.0,32768.0,199196.0,4230123.0,3606093824.0,668905472.0,16437116928.0,318980096.0,0.0,0.0,
0.375,0.0,99.500,0.0,0.0,0.125,0.0,0.0,97953.0,1679810.0,3605954560.0,668905472.0,16437125120.0,319111168.0,0.0,0.0,
0.750,0.250,99.0,0.0,0.0,0.0,0.0,204800.0,23354.0,60470.0,3606081536.0,668913664.0,16437116928.0,318984192.0,0.0,0.0,
0.125,0.249,99.377,0.0,0.0,0.249,0.0,0.0,165468.0,3777728.0,3605946368.0,668913664.0,16437121024.0,319115264.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,16384.0,133491.0,2742794.0,3605983232.0,668913664.0,16437125120.0,319074304.0,0.0,0.0,
0.375,0.0,99.501,0.0,0.0,0.125,0.0,65536.0,109775.0,2236291.0,3606167552.0,668921856.0,16437116928.0,318889984.0,0.0,0.0,
0.250,0.125,99.625,0.0,0.0,0.0,0.0,0.0,42210.0,477543.0,3606294528.0,668921856.0,16437116928.0,318763008.0,0.0,0.0,
0.125,0.125,99.501,0.125,0.0,0.125,0.0,1204224.0,84749.0,46758.0,3605942272.0,668934144.0,16437239808.0,318980096.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,171869.0,14436.0,3606110208.0,668934144.0,16437272576.0,318779392.0,0.0,0.0,
0.125,0.125,99.625,0.0,0.0,0.125,0.0,8192.0,154369.0,13070.0,3606003712.0,668934144.0,16437510144.0,318648320.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,65536.0,277352.0,18736.0,3606089728.0,668942336.0,16437542912.0,318521344.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,90232.0,11240.0,3605622784.0,668942336.0,16437780480.0,318750720.0,0.0,0.0,
0.125,0.125,99.502,0.125,0.0,0.125,0.0,2818048.0,93545.0,10704.0,3605614592.0,668954624.0,16437776384.0,318750720.0,0.0,0.0,
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,44675.0,10022.0,3605475328.0,668954624.0,16437919744.0,318746624.0,0.0,0.0,
1.498,0.375,98.002,0.0,0.0,0.125,0.0,0.0,56256.0,10458.0,3605676032.0,668954624.0,16438226944.0,318238720.0,0.0,0.0,
0.624,5.743,88.390,0.0,0.250,4.994,16384.0,32768.0,453940.0,2584949.0,3607912448.0,669270016.0,16438919168.0,314994688.0,0.0,0.0,
0.250,7.0,84.375,0.0,0.250,8.125,0.0,0.0,8444805.0,75358241.0,3608211456.0,669671424.0,16439582720.0,313630720.0,0.0,0.0,
0.125,10.362,68.914,0.125,0.624,19.850,49152.0,6881280.0,7194987.0,74531213.0,3607281664.0,669691904.0,16439545856.0,314576896.0,0.0,0.0,
