"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven30",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/wc-64gb-1gb-l-raven30.csv",,,,"Date:","06 Aug 2016 18:18:03 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.235,0.074,99.507,0.179,0.001,0.003,102269.660,68148.302,0.0,0.0,852340736.0,1642496.0,50823168.0,20126277632.0,0.0,0.060,
0.125,0.0,99.625,0.250,0.0,0.0,8519680.0,0.0,429.0,652.0,851693568.0,1658880.0,54530048.0,20123201536.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,139264.0,239.0,396.0,852131840.0,1667072.0,53329920.0,20123955200.0,0.0,0.0,
0.125,0.125,99.501,0.250,0.0,0.0,4284416.0,0.0,4291.0,5265.0,851640320.0,1691648.0,54530048.0,20123222016.0,0.0,0.0,
0.125,0.125,99.501,0.249,0.0,0.0,8192.0,0.0,1068.0,3222.0,851697664.0,1695744.0,53334016.0,20124356608.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4194304.0,376832.0,175.0,396.0,850997248.0,1703936.0,54566912.0,20123815936.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,286.0,930.0,850878464.0,1703936.0,53669888.0,20124831744.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,139264.0,379.0,466.0,850485248.0,1712128.0,52363264.0,20126523392.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,239.0,396.0,850538496.0,1712128.0,51167232.0,20127666176.0,0.0,0.0,
0.125,0.125,97.503,2.247,0.0,0.0,8519680.0,0.0,286.0,930.0,849989632.0,1728512.0,54628352.0,20124737536.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,239.0,396.0,850165760.0,1736704.0,53428224.0,20125753344.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4259840.0,0.0,239.0,396.0,849772544.0,1748992.0,54620160.0,20124942336.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,0.0,49152.0,350.0,930.0,849928192.0,1757184.0,53420032.0,20125978624.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,4194304.0,0.0,249.0,498.0,849522688.0,1757184.0,54652928.0,20125151232.0,0.0,0.0,
13.806,3.856,71.766,10.075,0.0,0.498,1343488.0,0.0,3828074.0,221703.0,907735040.0,1937408.0,59625472.0,20061786112.0,0.0,0.0,
39.776,2.369,53.117,4.239,0.0,0.499,516096.0,0.0,6718548.0,445302.0,1026072576.0,2195456.0,62881792.0,19939934208.0,0.0,0.0,
68.625,3.250,25.250,2.625,0.0,0.250,8192.0,0.0,3395687.0,155934.0,1190674432.0,2195456.0,67219456.0,19770994688.0,0.0,0.0,
58.817,1.786,36.384,2.790,0.0,0.223,8560640.0,40960.0,6303827.0,273984.0,1304739840.0,2220032.0,74674176.0,19649449984.0,0.0,0.0,
51.496,2.618,42.768,2.494,0.125,0.499,0.0,2703360.0,3953807.0,167110.0,1346048000.0,2244608.0,79814656.0,19602976768.0,0.0,0.0,
50.688,5.131,41.051,3.004,0.0,0.125,21356544.0,0.0,3481179.0,170461.0,2133024768.0,2289664.0,89587712.0,18806181888.0,0.0,0.0,
40.449,1.373,57.428,0.250,0.0,0.499,38608896.0,0.0,5055179.0,13736.0,2275147776.0,2326528.0,108134400.0,18645475328.0,0.0,0.0,
37.079,1.748,60.674,0.0,0.0,0.499,42508288.0,0.0,10044956.0,21270.0,2555568128.0,2347008.0,127934464.0,18345234432.0,0.0,0.0,
71.571,0.998,27.182,0.125,0.0,0.125,20987904.0,65536.0,9033866.0,22123.0,2676772864.0,2363392.0,137945088.0,18214002688.0,0.0,0.0,
49.813,0.0,50.062,0.0,0.0,0.125,4194304.0,0.0,2496157.0,5756.0,2676793344.0,2363392.0,138977280.0,18212950016.0,0.0,0.0,
37.578,0.125,62.297,0.0,0.0,0.0,0.0,114688.0,694.0,1538.0,2676793344.0,2371584.0,137777152.0,18214141952.0,0.0,0.0,
44.070,0.250,55.431,0.250,0.0,0.0,8495104.0,0.0,31050.0,4943.0,2676613120.0,2375680.0,141389824.0,18210705408.0,0.0,0.0,
48.190,0.125,51.685,0.0,0.0,0.0,0.0,98304.0,175.0,506.0,2677469184.0,2379776.0,140328960.0,18210906112.0,0.0,0.0,
44.055,0.751,54.944,0.250,0.0,0.0,21356544.0,57344.0,356.0,1110.0,2791202816.0,2437120.0,149909504.0,18087534592.0,0.0,0.0,
45.761,1.870,51.870,0.0,0.125,0.374,29655040.0,0.0,7135530.0,20191.0,3054198784.0,2453504.0,163454976.0,17810976768.0,0.0,0.0,
61.423,0.375,37.953,0.125,0.0,0.125,33579008.0,917504.0,10036229.0,21470.0,3054018560.0,2473984.0,179486720.0,17795104768.0,0.0,0.0,
57.928,0.125,41.698,0.125,0.0,0.125,8396800.0,0.0,3747639.0,8774.0,3054690304.0,2478080.0,182448128.0,17791467520.0,0.0,0.0,
38.404,0.249,61.347,0.0,0.0,0.0,0.0,1138688.0,1044752.0,5317.0,3054477312.0,2478080.0,181780480.0,17792348160.0,0.0,0.0,
39.0,0.125,60.875,0.0,0.0,0.0,0.0,65536.0,1155.0,21888.0,3056291840.0,2490368.0,180641792.0,17791660032.0,0.0,0.0,
39.299,0.125,59.950,0.626,0.0,0.0,21356544.0,0.0,383.0,678.0,3056148480.0,2506752.0,190189568.0,17782239232.0,0.0,0.0,
39.576,1.124,59.176,0.125,0.0,0.0,29646848.0,598016.0,747.0,3479.0,3175100416.0,2531328.0,203804672.0,17649647616.0,0.0,0.0,
51.375,0.875,47.500,0.0,0.0,0.250,25518080.0,0.0,1001643.0,4496.0,3310186496.0,2555904.0,215896064.0,17502445568.0,0.0,0.0,
54.421,0.249,45.081,0.0,0.0,0.249,17055744.0,139264.0,11174854.0,22766.0,3310358528.0,2564096.0,223297536.0,17494863872.0,0.0,0.0,
53.558,0.749,45.693,0.0,0.0,0.0,4194304.0,57344.0,7702401.0,18941.0,3362525184.0,2572288.0,224641024.0,17441345536.0,0.0,0.0,
39.250,0.125,60.625,0.0,0.0,0.0,0.0,0.0,2014863.0,4776.0,3362947072.0,2572288.0,223457280.0,17442107392.0,0.0,0.0,
37.828,0.125,62.047,0.0,0.0,0.0,0.0,385024.0,443.0,646.0,3362828288.0,2584576.0,222547968.0,17443123200.0,0.0,0.0,
38.577,0.499,60.799,0.0,0.0,0.125,25190400.0,0.0,753.0,3471.0,3363016704.0,2600960.0,234139648.0,17431326720.0,0.0,0.0,
44.569,0.375,54.557,0.375,0.0,0.125,46555136.0,0.0,547.0,994.0,3363209216.0,2629632.0,256245760.0,17408999424.0,0.0,0.0,
50.250,0.250,49.375,0.0,0.0,0.125,21250048.0,65536.0,245.0,576.0,3362705408.0,2650112.0,265900032.0,17399828480.0,0.0,0.0,
41.0,0.375,58.250,0.250,0.0,0.125,4268032.0,0.0,8656864.0,22329.0,3366084608.0,2670592.0,266907648.0,17395421184.0,0.0,0.0,
46.883,0.249,52.743,0.0,0.0,0.125,0.0,655360.0,9773062.0,22664.0,3365912576.0,2682880.0,266043392.0,17396445184.0,0.0,0.0,
47.750,0.0,52.250,0.0,0.0,0.0,4194304.0,0.0,2839175.0,6316.0,3365699584.0,2682880.0,266948608.0,17395752960.0,0.0,0.0,
38.778,0.125,60.973,0.0,0.125,0.0,0.0,221184.0,626440.0,4941.0,3365384192.0,2691072.0,266080256.0,17396928512.0,0.0,0.0,
37.625,0.250,62.0,0.0,0.0,0.125,33849344.0,49152.0,1289.0,16448.0,3379949568.0,2715648.0,282042368.0,17366376448.0,0.0,0.0,
45.375,0.250,54.250,0.0,0.0,0.125,38051840.0,0.0,309.0,576.0,3380338688.0,2740224.0,300089344.0,17347915776.0,0.0,0.0,
55.125,0.375,43.750,0.625,0.0,0.125,21037056.0,0.0,396983.0,5221.0,3380191232.0,2756608.0,309686272.0,17338449920.0,0.0,0.0,
37.953,0.125,61.673,0.125,0.0,0.125,65536.0,860160.0,11517463.0,24026.0,3381776384.0,2764800.0,308604928.0,17337937920.0,0.0,0.0,
46.442,0.125,53.308,0.0,0.0,0.125,4259840.0,0.0,8798635.0,18530.0,3381927936.0,2777088.0,309514240.0,17336864768.0,0.0,0.0,
39.076,0.125,60.799,0.0,0.0,0.0,0.0,57344.0,1111360.0,5921.0,3381866496.0,2785280.0,308649984.0,17337782272.0,0.0,0.0,
38.625,0.125,61.250,0.0,0.0,0.0,8396800.0,0.0,383.0,678.0,3382161408.0,2797568.0,311697408.0,17334427648.0,0.0,0.0,
37.625,0.500,61.750,0.0,0.0,0.125,42500096.0,0.0,681.0,1142.0,3385360384.0,2818048.0,332075008.0,17310830592.0,0.0,0.0,
53.808,0.499,45.318,0.125,0.0,0.250,29392896.0,745472.0,689.0,3473.0,3386040320.0,2846720.0,345661440.0,17296535552.0,0.0,0.0,
50.437,0.250,49.189,0.0,0.0,0.125,4202496.0,0.0,10426660.0,22556.0,3385806848.0,2850816.0,346951680.0,17295474688.0,0.0,0.0,
47.506,0.374,51.372,0.499,0.125,0.125,8437760.0,65536.0,9734026.0,20350.0,3387645952.0,2867200.0,349954048.0,17290616832.0,0.0,0.0,
38.125,0.125,61.750,0.0,0.0,0.0,65536.0,0.0,1731636.0,7184.0,3387854848.0,2867200.0,349130752.0,17291231232.0,0.0,0.0,
37.531,0.125,62.344,0.0,0.0,0.0,4259840.0,0.0,245.0,576.0,3388092416.0,2879488.0,350015488.0,17290096640.0,0.0,0.0,
37.547,0.125,62.328,0.0,0.0,0.0,12853248.0,0.0,245.0,576.0,3388166144.0,2891776.0,355557376.0,17284468736.0,0.0,0.0,
37.905,0.623,61.097,0.125,0.0,0.249,50634752.0,843776.0,1061.0,3965.0,3388542976.0,2924544.0,380006400.0,17259610112.0,0.0,0.0,
56.375,0.250,43.125,0.0,0.0,0.250,25722880.0,49152.0,9836610.0,21646.0,3390922752.0,2949120.0,391659520.0,17245552640.0,0.0,0.0,
58.926,0.250,40.699,0.0,0.0,0.125,0.0,0.0,10183168.0,21086.0,3390550016.0,2949120.0,390893568.0,17246691328.0,0.0,0.0,
39.0,0.125,60.875,0.0,0.0,0.0,0.0,0.0,1941728.0,7685.0,3390586880.0,2949120.0,389840896.0,17247707136.0,0.0,0.0,
37.578,0.0,61.798,0.624,0.0,0.0,8429568.0,0.0,309.0,576.0,3390742528.0,2953216.0,392826880.0,17244561408.0,0.0,0.0,
37.953,0.125,61.798,0.125,0.0,0.0,65536.0,507904.0,373.0,640.0,3390525440.0,2965504.0,392097792.0,17245495296.0,0.0,0.0,
39.201,0.375,60.300,0.0,0.0,0.125,29450240.0,73728.0,1591.0,25559.0,3390763008.0,3006464.0,405876736.0,17231437824.0,0.0,0.0,
