"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ravenleader",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/wc-64gb-1gb-l-ravenleader.csv",,,,"Date:","06 Aug 2016 18:16:35 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.733,0.398,98.546,0.252,0.008,0.063,1335224.986,909559.348,0.0,0.0,2344722432.0,446951424.0,12061913088.0,6177509376.0,0.0,0.088,
21.151,3.379,75.094,0.125,0.0,0.250,0.0,3145728.0,25671.0,15289.0,2404302848.0,446959616.0,12062822400.0,6117011456.0,0.0,0.0,
28.589,0.874,70.412,0.0,0.0,0.125,0.0,81920.0,323774.0,517005.0,2490802176.0,446967808.0,12062846976.0,6030479360.0,0.0,0.0,
19.375,0.625,80.0,0.0,0.0,0.0,0.0,0.0,40874.0,23556.0,2509864960.0,446967808.0,12062863360.0,6011400192.0,0.0,0.0,
12.344,0.499,86.908,0.125,0.0,0.125,0.0,172032.0,28016.0,13557.0,2513772544.0,446967808.0,12062875648.0,6007480320.0,0.0,0.0,
6.884,0.501,92.491,0.0,0.0,0.125,0.0,2646016.0,42785.0,419090.0,2517327872.0,446984192.0,12062875648.0,6003908608.0,0.0,0.0,
0.125,0.623,98.753,0.125,0.0,0.374,0.0,516096.0,213835.0,3859574.0,2517319680.0,446996480.0,12062892032.0,6003888128.0,0.0,0.0,
0.250,0.250,99.251,0.0,0.0,0.250,0.0,172032.0,377475.0,6644553.0,2517159936.0,447004672.0,12062900224.0,6004031488.0,0.0,0.0,
0.125,0.250,99.375,0.0,0.0,0.250,0.0,0.0,235929.0,5234691.0,2517086208.0,447004672.0,12062916608.0,6004088832.0,0.0,0.0,
0.125,0.374,99.127,0.0,0.125,0.249,0.0,0.0,277729.0,6154119.0,2517188608.0,447004672.0,12062924800.0,6003978240.0,0.0,0.0,
0.125,0.250,99.375,0.0,0.0,0.250,0.0,0.0,224958.0,4519369.0,2516504576.0,447004672.0,12062924800.0,6004662272.0,0.0,0.0,
0.499,0.249,99.127,0.0,0.0,0.125,0.0,368640.0,180060.0,3832616.0,2516234240.0,447021056.0,12062908416.0,6004932608.0,0.0,0.0,
0.876,0.125,98.999,0.0,0.0,0.0,0.0,1925120.0,160083.0,3526477.0,2516152320.0,447029248.0,12062924800.0,6004989952.0,0.0,0.0,
