"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.413125,0.111875,99.3177,0.149188,0.0015,0.00665625,206593,131325,0,0,8.67891e+08,1.62189e+06,5.4038e+07,2.01075e+10,88.6081,156.801,
0.066375,0.066375,99.7619,0.085875,0.00390625,0.015625,2.38976e+06,19456,5364.84,2531.09,8.67612e+08,1.62982e+06,5.43485e+07,2.01075e+10,0,0,
0.0624688,0.0546875,99.6254,0.245812,0.00390625,0.0078125,4.11315e+06,114176,1076.78,670.5,8.6733e+08,1.64339e+06,5.53693e+07,2.01067e+10,0,0,
0.128875,0.0820312,99.6721,0.113219,0,0.00390625,677376,0,30412.2,21508.4,8.67012e+08,1.65146e+06,5.47127e+07,2.01077e+10,0,0,
0.4805,0.171906,99.1327,0.187656,0.00390625,0.0234375,1.24954e+06,0,35079.4,13503.9,8.67381e+08,1.66451e+06,5.44758e+07,2.01076e+10,0,0,
0.577469,0.066375,99.0283,0.296687,0.0078125,0.0234062,2.16576e+06,416000,287736,23716.5,8.68527e+08,1.68307e+06,5.47805e+07,2.01061e+10,0,0,
0.806688,0.085875,98.7216,0.362719,0.0078125,0.0155937,4.14157e+06,19456,181934,8108.88,8.70083e+08,1.69139e+06,5.58922e+07,2.01034e+10,0,0,
0.65625,0.0742188,99.0588,0.175719,0.0078125,0.0273438,1.14842e+06,172800,146324,28126.9,8.71208e+08,1.70278e+06,5.56175e+07,2.01026e+10,0,0,
0.574875,0.07425,99.2963,0.0469062,0.00390625,0.00390625,1.19373e+06,0,211593,50467.4,8.71632e+08,1.7056e+06,5.52975e+07,2.01024e+10,0,0,
0.515031,0.0429375,99.2548,0.167781,0.0078125,0.0117188,2.37875e+06,0,140864,6275.38,8.7169e+08,1.70842e+06,5.55366e+07,2.01021e+10,0,0,
0.811562,0.097625,98.7437,0.335656,0,0.0117188,4.09702e+06,11008,105548,4801.25,8.72022e+08,1.71392e+06,5.66012e+07,2.01007e+10,0,0,
0.772531,0.0741563,99.0987,0.05075,0.00390625,0,680192,58112,83197.7,3837.38,8.72986e+08,1.71968e+06,5.60044e+07,2.01004e+10,0,0,
0.414062,0.0546875,99.3828,0.136719,0.00390625,0.0078125,1.34195e+06,150016,75363.7,11592.1,8.73956e+08,1.73555e+06,5.56532e+07,2.00997e+10,0,0,
0.117188,0.0741875,99.5707,0.226312,0.0078125,0.00390625,2.25971e+06,7936,11491.3,1609.31,8.73853e+08,1.74477e+06,5.57252e+07,2.00998e+10,0,0,
4.75347,2.16406,88.8505,4.07594,0.0117188,0.144344,4.40013e+06,71936,666287,90325.7,8.92328e+08,1.82042e+06,5.83638e+07,2.00786e+10,0,0,
13.6688,4.82947,79.8667,1.46719,0,0.16775,1.32301e+06,3072,1.77013e+06,221831,9.43703e+08,1.86803e+06,5.94111e+07,2.00261e+10,0,0,
30.464,1.27819,67.5006,0.666219,0.0115937,0.0795938,1.35373e+06,294656,1.50003e+06,100465,1.01495e+09,1.88787e+06,6.01757e+07,1.99541e+10,0,0,
29.3949,1.28013,68.2846,0.909531,0.0115312,0.119219,2.48678e+06,175104,1.46098e+06,64658.3,1.08668e+09,1.89824e+06,6.19187e+07,1.98806e+10,0,0,
32.5487,1.1275,65.6499,0.5605,0.00390625,0.109531,3.75296e+06,399616,1.54965e+06,69833,1.14834e+09,1.90682e+06,6.39287e+07,1.98169e+10,0,0,
30.366,1.12772,67.8734,0.543938,0.00690625,0.082125,1.47405e+06,104448,1.22149e+06,55530.9,1.21155e+09,1.91706e+06,6.48781e+07,1.97527e+10,0,0,
27.3497,1.57866,70.1126,0.825969,0,0.133125,9.34426e+06,106752,1.31018e+06,222781,1.34668e+09,1.93907e+06,6.94703e+07,1.9613e+10,0,0,
25.1961,1.65725,72.1399,0.8495,0.0078125,0.149437,2.2934e+07,241920,2.41591e+06,1.8896e+06,1.5244e+09,1.96314e+06,7.99478e+07,1.94248e+10,0,0,
