"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven26",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/wc-64gb-1gb-l-raven26.csv",,,,"Date:","06 Aug 2016 18:18:49 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.231,0.068,99.527,0.171,0.001,0.003,100216.874,73271.744,0.0,0.0,824619008.0,1658880.0,54484992.0,20150321152.0,0.0,0.057,
0.125,0.125,99.625,0.125,0.0,0.0,49152.0,131072.0,1130.0,1508.0,823529472.0,1683456.0,53825536.0,20152045568.0,0.0,0.0,
0.125,0.0,99.252,0.623,0.0,0.0,8519680.0,0.0,239.0,396.0,823820288.0,1699840.0,56799232.0,20148764672.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,239.0,396.0,823316480.0,1699840.0,56025088.0,20150042624.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,4259840.0,0.0,350.0,930.0,823500800.0,1712128.0,56909824.0,20148961280.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,376832.0,175.0,396.0,822460416.0,1720320.0,56037376.0,20150865920.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4194304.0,49152.0,175.0,396.0,822636544.0,1728512.0,56926208.0,20149792768.0,0.0,0.0,
0.125,0.125,99.501,0.249,0.0,0.0,16384.0,0.0,294511.0,136428.0,822611968.0,1740800.0,56332288.0,20150398976.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2339.0,160563.0,822792192.0,1740800.0,55136256.0,20151414784.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,175.0,396.0,821772288.0,1740800.0,54226944.0,20153344000.0,0.0,0.0,
0.125,0.0,99.250,0.625,0.0,0.0,8503296.0,0.0,350.0,930.0,821932032.0,1748992.0,57208832.0,20150194176.0,0.0,0.0,
0.748,0.374,98.753,0.125,0.0,0.0,0.0,663552.0,303.0,474.0,821870592.0,1757184.0,56365056.0,20151091200.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,4259840.0,32768.0,239.0,396.0,821977088.0,1777664.0,57245696.0,20150083584.0,0.0,0.0,
0.0,0.0,99.375,0.625,0.0,0.0,57344.0,0.0,286.0,930.0,820928512.0,1806336.0,56369152.0,20151980032.0,0.0,0.0,
11.985,5.368,69.039,13.358,0.0,0.250,5537792.0,0.0,3870643.0,289586.0,873734144.0,2035712.0,62533632.0,20092780544.0,0.0,0.0,
27.840,16.105,52.809,2.747,0.0,0.499,163840.0,0.0,3320089.0,450040.0,978219008.0,2125824.0,63873024.0,19986866176.0,0.0,0.0,
77.919,3.353,15.723,2.890,0.0,0.116,425984.0,40960.0,3893418.0,179800.0,1197580288.0,2338816.0,66662400.0,19764502528.0,0.0,0.0,
94.356,3.313,1.350,0.613,0.123,0.245,8192.0,0.0,2149981.0,88938.0,1413332992.0,2338816.0,67973120.0,19547439104.0,0.0,0.0,
77.500,4.125,13.750,4.125,0.0,0.500,8552448.0,2637824.0,6773731.0,304702.0,1636798464.0,2359296.0,76574720.0,19315351552.0,0.0,0.0,
97.657,1.850,0.370,0.0,0.0,0.123,0.0,0.0,966742.0,46874.0,1738268672.0,2375680.0,77824000.0,19212615680.0,0.0,0.0,
95.220,3.396,0.377,0.629,0.0,0.377,4259840.0,0.0,4968503.0,209106.0,1799712768.0,2396160.0,83673088.0,19145302016.0,0.0,0.0,
68.335,5.006,20.150,6.508,0.0,0.0,42237952.0,65536.0,1755179.0,98294.0,2188386304.0,2465792.0,104939520.0,18735292416.0,0.0,0.0,
85.287,6.608,7.357,0.499,0.0,0.249,53911552.0,0.0,15252.0,4074.0,3173670912.0,2535424.0,133779456.0,17721098240.0,0.0,0.0,
74.0,4.625,20.500,0.375,0.125,0.375,109084672.0,1761280.0,239.0,614.0,3945259008.0,2609152.0,183689216.0,16899526656.0,0.0,0.0,
83.271,2.622,13.608,0.125,0.0,0.375,97607680.0,0.0,28260.0,5483.0,4319354880.0,2654208.0,231907328.0,16477167616.0,0.0,0.0,
97.878,1.623,0.375,0.0,0.0,0.125,46186496.0,0.0,903.0,2135.0,4346294272.0,2678784.0,254304256.0,16427806720.0,0.0,0.0,
91.250,0.375,8.375,0.0,0.0,0.0,16900096.0,65536.0,175.0,614.0,4335124480.0,2699264.0,261292032.0,16431968256.0,0.0,0.0,
81.500,0.500,18.0,0.0,0.0,0.0,4194304.0,0.0,31066.0,6146.0,4335308800.0,2699264.0,262656000.0,16430419968.0,0.0,0.0,
78.429,0.0,21.322,0.125,0.0,0.125,4259840.0,1286144.0,1021.0,16850.0,4335886336.0,2711552.0,263573504.0,16428912640.0,0.0,0.0,
91.156,0.236,8.608,0.0,0.0,0.0,0.0,204800.0,239.0,614.0,4337254400.0,2727936.0,262807552.0,16428294144.0,0.0,0.0,
86.409,0.873,12.469,0.0,0.0,0.249,29655040.0,0.0,794.0,4549.0,4369870848.0,2756608.0,276361216.0,16382095360.0,0.0,0.0,
74.906,3.121,21.348,0.250,0.0,0.375,79773696.0,73728.0,1369.0,3445.0,4818841600.0,2809856.0,318111744.0,15891320832.0,0.0,0.0,
94.507,3.371,1.748,0.0,0.125,0.250,72687616.0,0.0,803.0,1486.0,5301960704.0,2846720.0,350793728.0,15375482880.0,0.0,0.0,
97.253,2.122,0.375,0.0,0.0,0.250,46178304.0,139264.0,1214.0,13355.0,5561745408.0,2867200.0,373313536.0,15093157888.0,0.0,0.0,
99.625,0.125,0.250,0.0,0.0,0.0,25288704.0,1376256.0,461.0,1935.0,5561942016.0,2887680.0,384733184.0,15081521152.0,0.0,0.0,
90.250,0.0,9.750,0.0,0.0,0.0,6291456.0,0.0,239.0,614.0,5560049664.0,2887680.0,388124672.0,15080022016.0,0.0,0.0,
77.903,0.250,21.848,0.0,0.0,0.0,6356992.0,65536.0,730.0,4549.0,5553168384.0,2908160.0,389009408.0,15085998080.0,0.0,0.0,
78.777,0.250,20.974,0.0,0.0,0.0,4194304.0,0.0,397.0,1935.0,5553471488.0,2916352.0,389898240.0,15084797952.0,0.0,0.0,
78.527,0.624,20.474,0.125,0.0,0.250,46972928.0,0.0,367.0,614.0,5554872320.0,2953216.0,412504064.0,15060754432.0,0.0,0.0,
85.982,1.627,11.890,0.125,0.0,0.375,97624064.0,0.0,868.0,4651.0,5613731840.0,3006464.0,460275712.0,14954070016.0,0.0,0.0,
95.755,0.624,3.371,0.0,0.0,0.250,42237952.0,1327104.0,461.0,1935.0,5640282112.0,3035136.0,480788480.0,14906978304.0,0.0,0.0,
99.126,0.624,0.125,0.0,0.0,0.125,34414592.0,49152.0,239.0,692.0,5680668672.0,3080192.0,496676864.0,14850658304.0,0.0,0.0,
92.0,0.375,7.625,0.0,0.0,0.0,29483008.0,0.0,730.0,4549.0,5680824320.0,3092480.0,510578688.0,14836588544.0,0.0,0.0,
88.792,0.125,11.083,0.0,0.0,0.0,4464640.0,0.0,397.0,1935.0,5680607232.0,3096576.0,511901696.0,14835478528.0,0.0,0.0,
77.278,0.125,22.597,0.0,0.0,0.0,8462336.0,0.0,3043.0,3349.0,5680467968.0,3125248.0,515149824.0,14832340992.0,0.0,0.0,
