"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven20",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /scratch2/wb/eval/hadoop_dstat/wc-64gb-8mb-1-raven20.csv",,,,"Date:","06 Aug 2016 17:39:27 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.173,0.062,99.591,0.171,0.001,0.003,105905.389,94864.695,0.0,0.0,835239936.0,1687552.0,53882880.0,20140273664.0,0.0,0.064,
0.125,0.0,98.752,0.999,0.0,0.125,8503296.0,0.0,3918.0,2610.0,835878912.0,1724416.0,56557568.0,20136923136.0,0.0,0.0,
0.0,0.125,99.626,0.249,0.0,0.0,57344.0,163840.0,175.0,396.0,834400256.0,1740800.0,56107008.0,20138835968.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,249.0,498.0,834420736.0,1740800.0,55078912.0,20139843584.0,0.0,0.0,
0.375,0.125,99.376,0.125,0.0,0.0,24576.0,0.0,1908.0,2342.0,832196608.0,1757184.0,55001088.0,20142129152.0,0.0,0.0,
0.0,0.0,99.375,0.625,0.0,0.0,8429568.0,376832.0,873606.0,875117.0,832757760.0,1769472.0,57581568.0,20138975232.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,40960.0,0.0,175.0,396.0,831852544.0,1769472.0,56684544.0,20140777472.0,0.0,0.0,
0.125,0.0,99.751,0.125,0.0,0.0,0.0,1654784.0,286.0,930.0,831688704.0,1773568.0,55836672.0,20141785088.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,131072.0,175.0,396.0,830836736.0,1777664.0,54644736.0,20143824896.0,0.0,0.0,
0.0,0.0,99.125,0.875,0.0,0.0,8429568.0,0.0,239.0,474.0,830816256.0,1781760.0,57819136.0,20140666880.0,0.0,0.0,
0.125,0.125,99.750,0.0,0.0,0.0,40960.0,0.0,286.0,930.0,830205952.0,1781760.0,57024512.0,20142071808.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,175.0,396.0,830480384.0,1781760.0,55734272.0,20143087616.0,0.0,0.0,
0.0,0.0,99.875,0.0,0.125,0.0,0.0,49152.0,175.0,396.0,829120512.0,1789952.0,54927360.0,20145246208.0,0.0,0.0,
0.125,0.125,99.251,0.499,0.0,0.0,8437760.0,24576.0,286.0,930.0,829165568.0,1806336.0,57905152.0,20142206976.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,40960.0,0.0,175.0,396.0,828440576.0,1806336.0,57032704.0,20143804416.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,175.0,396.0,828686336.0,1806336.0,55771136.0,20144820224.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,286.0,930.0,828063744.0,1806336.0,54870016.0,20146343936.0,0.0,0.0,
0.125,0.0,99.002,0.873,0.0,0.0,8429568.0,57344.0,175.0,396.0,828194816.0,1818624.0,57634816.0,20143435776.0,0.0,0.0,
8.625,3.500,80.375,7.375,0.0,0.125,1441792.0,0.0,175.0,396.0,839057408.0,2105344.0,58224640.0,20131696640.0,0.0,0.0,
8.647,15.038,54.135,21.930,0.0,0.251,40960.0,0.0,2490565.0,284644.0,899776512.0,2121728.0,61763584.0,20067422208.0,0.0,0.0,
22.540,24.907,48.692,3.362,0.125,0.374,0.0,0.0,1999695.0,98822.0,987361280.0,2121728.0,61407232.0,19980193792.0,0.0,0.0,
48.820,4.099,28.820,17.764,0.0,0.497,9117696.0,0.0,2629441.0,441920.0,1210044416.0,2465792.0,69013504.0,19749560320.0,0.0,0.0,
95.152,3.152,0.848,0.727,0.0,0.121,40960.0,57344.0,3765380.0,170322.0,1374674944.0,2473984.0,69304320.0,19584630784.0,0.0,0.0,
96.547,2.959,0.123,0.370,0.0,0.0,0.0,3088384.0,1478377.0,68704.0,1575845888.0,2486272.0,68493312.0,19384258560.0,0.0,0.0,
62.500,3.883,11.044,22.209,0.0,0.364,16384.0,0.0,1401755.0,62876.0,1762332672.0,2490368.0,71954432.0,19194306560.0,0.0,0.0,
82.759,2.403,7.628,6.897,0.104,0.209,8527872.0,0.0,6933615.0,335062.0,1987215360.0,2498560.0,78262272.0,18963107840.0,0.0,0.0,
97.207,2.235,0.335,0.0,0.0,0.223,0.0,0.0,1229307.0,57014.0,2093793280.0,2510848.0,79081472.0,18855698432.0,0.0,0.0,
84.913,3.865,3.367,7.481,0.0,0.374,0.0,1171456.0,4308328.0,727457.0,2174939136.0,2543616.0,82427904.0,18771173376.0,0.0,0.0,
