"Dstat 0.6.6 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raven08",,,,"User:","wb"
"Cmdline:","dstat -cdnmg --output /home/wb/hadoop/eval/dstat/wc_64gb_4mb-raven08.csv",,,,"Date:","05 Aug 2016 04:46:03 KST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
0.826,0.212,98.798,0.147,0.002,0.014,502434.804,297212.250,0.0,0.0,587923456.0,1617920.0,37253120.0,20404289536.0,3010.124,5325.575,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4734.0,2231.0,587853824.0,1617920.0,37322752.0,20404289536.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1257.0,395.0,587759616.0,1617920.0,37330944.0,20404375552.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,596.0,929.0,587239424.0,1617920.0,37330944.0,20404895744.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1700.0,459.0,587104256.0,1617920.0,37330944.0,20405030912.0,0.0,0.0,
0.0,0.0,99.875,0.125,0.0,0.0,0.0,385024.0,992.0,395.0,587087872.0,1626112.0,37330944.0,20405039104.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,1116.0,1324.0,587087872.0,1626112.0,37330944.0,20405039104.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,932.0,395.0,586792960.0,1626112.0,37330944.0,20405334016.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2688.0,459.0,586665984.0,1626112.0,37330944.0,20405460992.0,0.0,0.0,
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,788.0,1007.0,586522624.0,1626112.0,37330944.0,20405604352.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3246.0,497.0,586518528.0,1626112.0,37335040.0,20405604352.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4076.0,395.0,586129408.0,1626112.0,37335040.0,20405993472.0,0.0,0.0,
0.125,0.0,99.751,0.0,0.125,0.0,0.0,0.0,596.0,929.0,586010624.0,1626112.0,37335040.0,20406112256.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,932.0,395.0,586006528.0,1626112.0,37335040.0,20406116352.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,1696.0,395.0,586006528.0,1634304.0,37330944.0,20406112256.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,596.0,929.0,585748480.0,1634304.0,37335040.0,20406366208.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2724.0,395.0,585621504.0,1634304.0,37335040.0,20406493184.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,864.0,395.0,585596928.0,1634304.0,37359616.0,20406493184.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2964.0,929.0,585592832.0,1634304.0,37359616.0,20406497280.0,0.0,0.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,676.0,473.0,585400320.0,1634304.0,37363712.0,20406685696.0,0.0,0.0,
0.0,0.0,99.875,0.0,0.0,0.125,0.0,0.0,3296.0,395.0,585351168.0,1634304.0,37363712.0,20406734848.0,0.0,0.0,
0.125,0.0,99.750,0.125,0.0,0.0,49152.0,0.0,7146.0,4851.0,585351168.0,1662976.0,37335040.0,20406734848.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,180224.0,4452.0,395.0,585486336.0,1675264.0,37322752.0,20406599680.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,864.0,395.0,585244672.0,1675264.0,37363712.0,20406800384.0,0.0,0.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,660.0,929.0,585244672.0,1675264.0,37363712.0,20406800384.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1700.0,395.0,585244672.0,1675264.0,37363712.0,20406800384.0,0.0,0.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,3232.0,395.0,585244672.0,1675264.0,37363712.0,20406800384.0,0.0,0.0,
4.613,0.249,94.140,0.748,0.0,0.249,0.0,827392.0,2263144.0,117815.0,597630976.0,1675264.0,39841792.0,20391936000.0,0.0,0.0,
17.228,2.372,76.404,3.620,0.0,0.375,385024.0,0.0,5350524.0,304469.0,669425664.0,1761280.0,44630016.0,20315267072.0,0.0,0.0,
17.500,1.500,76.625,4.0,0.125,0.250,409600.0,0.0,3742276.0,182924.0,702386176.0,1900544.0,48345088.0,20278452224.0,0.0,0.0,
10.625,25.375,55.500,8.250,0.0,0.250,598016.0,0.0,3594334.0,265029.0,774000640.0,1966080.0,52539392.0,20202577920.0,0.0,0.0,
44.195,9.863,35.830,9.488,0.0,0.624,57344.0,0.0,3987258.0,531831.0,939937792.0,1990656.0,55730176.0,20033425408.0,0.0,0.0,
85.268,4.994,5.119,4.370,0.0,0.250,0.0,3047424.0,3504253.0,160493.0,1198403584.0,2002944.0,59437056.0,19771240448.0,0.0,0.0,
97.375,2.250,0.250,0.125,0.0,0.0,16384.0,0.0,366352.0,23715.0,1368793088.0,2007040.0,59478016.0,19600805888.0,0.0,0.0,
92.768,4.613,1.621,0.499,0.125,0.374,0.0,0.0,3506514.0,175533.0,1616396288.0,2007040.0,62472192.0,19350208512.0,0.0,0.0,
87.032,2.618,7.357,2.868,0.0,0.125,57344.0,0.0,2427678.0,115949.0,1819357184.0,2011136.0,65277952.0,19144437760.0,0.0,0.0,
97.878,1.873,0.125,0.0,0.0,0.125,0.0,0.0,1065204.0,48087.0,1900634112.0,2019328.0,66252800.0,19062177792.0,0.0,0.0,
97.129,2.372,0.499,0.0,0.0,0.0,0.0,0.0,79392.0,13949.0,1984331776.0,2043904.0,66490368.0,18978217984.0,0.0,0.0,
89.500,5.625,4.250,0.500,0.0,0.125,122880.0,2097152.0,657530.0,114387.0,2232885248.0,2093056.0,66871296.0,18729234432.0,0.0,0.0,
89.737,7.259,2.128,0.751,0.0,0.125,59293696.0,0.0,2913387.0,93092.0,3362680832.0,2142208.0,97533952.0,17568727040.0,0.0,0.0,
89.526,6.858,2.868,0.374,0.0,0.374,16982016.0,0.0,846203.0,178344.0,4435984384.0,2150400.0,106082304.0,16486866944.0,0.0,0.0,
90.387,6.991,2.497,0.125,0.0,0.0,8437760.0,0.0,445911.0,13579.0,4437241856.0,2158592.0,111575040.0,16480108544.0,0.0,0.0,
43.0,35.625,21.375,0.0,0.0,0.0,8429568.0,0.0,10648.0,253118.0,4433924096.0,2162688.0,120135680.0,16474861568.0,0.0,0.0,
13.733,43.196,42.946,0.125,0.0,0.0,8429568.0,491520.0,8324.0,105813.0,4437712896.0,2174976.0,126201856.0,16464994304.0,0.0,0.0,
13.483,42.072,44.070,0.375,0.0,0.0,16891904.0,40960.0,55058.0,263945.0,4442095616.0,2207744.0,137400320.0,16449380352.0,0.0,0.0,
5.625,50.375,44.0,0.0,0.0,0.0,0.0,0.0,835.0,2003.0,4442869760.0,2207744.0,139075584.0,16446930944.0,0.0,0.0,
3.745,50.936,45.318,0.0,0.0,0.0,0.0,0.0,1700.0,685.0,4443766784.0,2207744.0,139956224.0,16445153280.0,0.0,0.0,
6.750,47.500,45.750,0.0,0.0,0.0,0.0,40960.0,2601.0,4905.0,4442427392.0,2207744.0,142540800.0,16443908096.0,0.0,0.0,
6.117,45.318,48.564,0.0,0.0,0.0,0.0,278528.0,835.0,2005.0,4448088064.0,2215936.0,144297984.0,16436482048.0,0.0,0.0,
4.619,45.069,50.312,0.0,0.0,0.0,40960.0,57344.0,1166.0,1743.0,4448002048.0,2224128.0,146472960.0,16434384896.0,0.0,0.0,
4.625,50.625,44.750,0.0,0.0,0.0,0.0,0.0,3961.0,3440.0,4448301056.0,2224128.0,147689472.0,16432869376.0,0.0,0.0,
4.875,50.125,45.0,0.0,0.0,0.0,0.0,0.0,907.0,1973.0,4447309824.0,2224128.0,150384640.0,16431165440.0,0.0,0.0,
4.245,51.061,44.694,0.0,0.0,0.0,0.0,0.0,1636.0,685.0,4432756736.0,2224128.0,151826432.0,16444276736.0,0.0,0.0,
5.125,45.250,49.625,0.0,0.0,0.0,40960.0,294912.0,2857.0,3198.0,4432371712.0,2232320.0,153575424.0,16442904576.0,0.0,0.0,
6.359,45.511,48.130,0.0,0.0,0.0,0.0,32768.0,1123.0,1578.0,4432539648.0,2240512.0,155049984.0,16441253888.0,0.0,0.0,
4.250,46.500,49.250,0.0,0.0,0.0,0.0,0.0,740.0,685.0,4432117760.0,2240512.0,157106176.0,16439619584.0,0.0,0.0,
4.115,51.247,44.514,0.0,0.0,0.125,0.0,0.0,1833.0,3198.0,4432183296.0,2240512.0,158679040.0,16437981184.0,0.0,0.0,
4.0,50.125,45.875,0.0,0.0,0.0,40960.0,0.0,707.0,1578.0,4432015360.0,2240512.0,161099776.0,16435728384.0,0.0,0.0,
4.869,50.687,44.444,0.0,0.0,0.0,0.0,352256.0,2212.0,685.0,4432183296.0,2248704.0,162447360.0,16434204672.0,0.0,0.0,
4.245,48.814,46.941,0.0,0.0,0.0,0.0,32768.0,1513.0,3276.0,4431351808.0,2256896.0,164651008.0,16432824320.0,0.0,0.0,
4.375,50.625,45.0,0.0,0.0,0.0,0.0,0.0,1731.0,1578.0,4431650816.0,2256896.0,166105088.0,16431071232.0,0.0,0.0,
