16/08/15 17:21:54 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/15 17:21:55 INFO input.FileInputFormat: Total input paths to process : 1
16/08/15 17:21:56 INFO mapreduce.JobSubmitter: number of splits:1998
16/08/15 17:21:56 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1470891827491_0097
16/08/15 17:21:56 INFO impl.YarnClientImpl: Submitted application application_1470891827491_0097
16/08/15 17:21:57 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1470891827491_0097/
16/08/15 17:21:57 INFO mapreduce.Job: Running job: job_1470891827491_0097
16/08/15 17:22:07 INFO mapreduce.Job: Job job_1470891827491_0097 running in uber mode : false
16/08/15 17:22:07 INFO mapreduce.Job:  map 0% reduce 0%
16/08/15 17:22:26 INFO mapreduce.Job:  map 1% reduce 0%
16/08/15 17:22:27 INFO mapreduce.Job:  map 2% reduce 0%
16/08/15 17:22:35 INFO mapreduce.Job:  map 3% reduce 0%
16/08/15 17:22:42 INFO mapreduce.Job:  map 4% reduce 0%
16/08/15 17:22:48 INFO mapreduce.Job:  map 5% reduce 0%
16/08/15 17:22:54 INFO mapreduce.Job:  map 6% reduce 0%
16/08/15 17:23:00 INFO mapreduce.Job:  map 7% reduce 0%
16/08/15 17:23:06 INFO mapreduce.Job:  map 8% reduce 0%
16/08/15 17:23:11 INFO mapreduce.Job:  map 9% reduce 0%
16/08/15 17:23:13 INFO mapreduce.Job:  map 10% reduce 0%
16/08/15 17:23:15 INFO mapreduce.Job:  map 11% reduce 0%
16/08/15 17:23:17 INFO mapreduce.Job:  map 12% reduce 0%
16/08/15 17:23:20 INFO mapreduce.Job:  map 13% reduce 0%
16/08/15 17:23:28 INFO mapreduce.Job:  map 14% reduce 0%
16/08/15 17:23:30 INFO mapreduce.Job:  map 14% reduce 1%
16/08/15 17:23:34 INFO mapreduce.Job:  map 15% reduce 1%
16/08/15 17:23:41 INFO mapreduce.Job:  map 16% reduce 1%
16/08/15 17:23:48 INFO mapreduce.Job:  map 17% reduce 1%
16/08/15 17:23:54 INFO mapreduce.Job:  map 18% reduce 1%
16/08/15 17:24:01 INFO mapreduce.Job:  map 19% reduce 1%
16/08/15 17:24:07 INFO mapreduce.Job:  map 20% reduce 1%
16/08/15 17:24:11 INFO mapreduce.Job:  map 21% reduce 1%
16/08/15 17:24:14 INFO mapreduce.Job:  map 22% reduce 1%
