16/08/06 17:14:20 INFO client.RMProxy: Connecting to ResourceManager at ravenleader/192.168.1.201:58032
16/08/06 17:14:21 INFO input.FileInputFormat: Total input paths to process : 1
16/08/06 17:14:24 INFO mapreduce.JobSubmitter: number of splits:16000
16/08/06 17:14:25 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1470470958628_0002
16/08/06 17:14:25 INFO impl.YarnClientImpl: Submitted application application_1470470958628_0002
16/08/06 17:14:25 INFO mapreduce.Job: The url to track the job: http://ravenleader:58088/proxy/application_1470470958628_0002/
16/08/06 17:14:25 INFO mapreduce.Job: Running job: job_1470470958628_0002
16/08/06 17:23:27 INFO mapreduce.Job: Job job_1470470958628_0002 running in uber mode : false
16/08/06 17:23:27 INFO mapreduce.Job:  map 0% reduce 0%
16/08/06 17:23:45 INFO mapreduce.Job:  map 1% reduce 0%
16/08/06 17:23:46 INFO mapreduce.Job:  map 2% reduce 0%
16/08/06 17:23:58 INFO mapreduce.Job:  map 3% reduce 0%
16/08/06 17:24:07 INFO mapreduce.Job:  map 4% reduce 0%
16/08/06 17:24:11 INFO mapreduce.Job:  map 5% reduce 0%
16/08/06 17:24:21 INFO mapreduce.Job:  map 6% reduce 0%
16/08/06 17:24:29 INFO mapreduce.Job:  map 7% reduce 0%
16/08/06 17:24:35 INFO mapreduce.Job:  map 8% reduce 0%
16/08/06 17:24:44 INFO mapreduce.Job:  map 9% reduce 0%
16/08/06 17:24:51 INFO mapreduce.Job:  map 10% reduce 0%
16/08/06 17:24:54 INFO mapreduce.Job:  map 10% reduce 1%
16/08/06 17:24:58 INFO mapreduce.Job:  map 11% reduce 1%
16/08/06 17:25:06 INFO mapreduce.Job:  map 12% reduce 1%
16/08/06 17:25:14 INFO mapreduce.Job:  map 13% reduce 1%
16/08/06 17:25:21 INFO mapreduce.Job:  map 14% reduce 1%
16/08/06 17:25:29 INFO mapreduce.Job:  map 15% reduce 1%
16/08/06 17:25:37 INFO mapreduce.Job:  map 16% reduce 1%
16/08/06 17:25:42 INFO mapreduce.Job:  map 16% reduce 2%
16/08/06 17:25:44 INFO mapreduce.Job:  map 17% reduce 2%
16/08/06 17:25:53 INFO mapreduce.Job:  map 18% reduce 2%
16/08/06 17:26:01 INFO mapreduce.Job:  map 19% reduce 2%
16/08/06 17:26:09 INFO mapreduce.Job:  map 20% reduce 2%
16/08/06 17:26:17 INFO mapreduce.Job:  map 21% reduce 3%
16/08/06 17:26:25 INFO mapreduce.Job:  map 22% reduce 3%
16/08/06 17:26:32 INFO mapreduce.Job:  map 23% reduce 3%
16/08/06 17:26:41 INFO mapreduce.Job:  map 24% reduce 3%
16/08/06 17:26:46 INFO mapreduce.Job:  map 24% reduce 4%
16/08/06 17:26:49 INFO mapreduce.Job:  map 25% reduce 4%
16/08/06 17:26:58 INFO mapreduce.Job:  map 26% reduce 4%
16/08/06 17:27:06 INFO mapreduce.Job:  map 27% reduce 4%
16/08/06 17:27:11 INFO mapreduce.Job:  map 27% reduce 5%
16/08/06 17:27:14 INFO mapreduce.Job:  map 28% reduce 5%
16/08/06 17:27:23 INFO mapreduce.Job:  map 29% reduce 5%
16/08/06 17:27:31 INFO mapreduce.Job:  map 30% reduce 5%
16/08/06 17:27:35 INFO mapreduce.Job:  map 30% reduce 6%
16/08/06 17:27:40 INFO mapreduce.Job:  map 31% reduce 6%
16/08/06 17:27:49 INFO mapreduce.Job:  map 32% reduce 6%
16/08/06 17:27:55 INFO mapreduce.Job:  map 32% reduce 7%
16/08/06 17:27:57 INFO mapreduce.Job:  map 33% reduce 7%
16/08/06 17:28:06 INFO mapreduce.Job:  map 34% reduce 7%
16/08/06 17:28:15 INFO mapreduce.Job:  map 35% reduce 8%
16/08/06 17:28:24 INFO mapreduce.Job:  map 36% reduce 8%
16/08/06 17:28:32 INFO mapreduce.Job:  map 37% reduce 8%
16/08/06 17:28:34 INFO mapreduce.Job:  map 37% reduce 9%
16/08/06 17:28:42 INFO mapreduce.Job:  map 38% reduce 9%
16/08/06 17:28:51 INFO mapreduce.Job:  map 39% reduce 9%
16/08/06 17:28:53 INFO mapreduce.Job:  map 39% reduce 10%
16/08/06 17:29:00 INFO mapreduce.Job:  map 40% reduce 10%
16/08/06 17:29:09 INFO mapreduce.Job:  map 41% reduce 10%
16/08/06 17:29:10 INFO mapreduce.Job:  map 41% reduce 11%
16/08/06 17:29:19 INFO mapreduce.Job:  map 42% reduce 11%
16/08/06 17:29:29 INFO mapreduce.Job:  map 43% reduce 12%
16/08/06 17:29:39 INFO mapreduce.Job:  map 44% reduce 12%
16/08/06 17:29:47 INFO mapreduce.Job:  map 44% reduce 13%
16/08/06 17:29:49 INFO mapreduce.Job:  map 45% reduce 13%
16/08/06 17:29:59 INFO mapreduce.Job:  map 46% reduce 13%
16/08/06 17:30:05 INFO mapreduce.Job:  map 46% reduce 14%
16/08/06 17:30:09 INFO mapreduce.Job:  map 47% reduce 14%
16/08/06 17:30:18 INFO mapreduce.Job:  map 47% reduce 15%
16/08/06 17:30:20 INFO mapreduce.Job:  map 48% reduce 15%
16/08/06 17:30:30 INFO mapreduce.Job:  map 49% reduce 15%
16/08/06 17:30:35 INFO mapreduce.Job:  map 49% reduce 16%
16/08/06 17:30:40 INFO mapreduce.Job:  map 50% reduce 16%
16/08/06 17:30:52 INFO mapreduce.Job:  map 51% reduce 16%
16/08/06 17:30:53 INFO mapreduce.Job:  map 51% reduce 17%
16/08/06 17:31:02 INFO mapreduce.Job:  map 52% reduce 17%
16/08/06 17:31:13 INFO mapreduce.Job:  map 53% reduce 17%
16/08/06 17:31:19 INFO mapreduce.Job:  map 53% reduce 18%
16/08/06 17:31:23 INFO mapreduce.Job:  map 54% reduce 18%
16/08/06 17:31:35 INFO mapreduce.Job:  map 55% reduce 18%
16/08/06 17:31:45 INFO mapreduce.Job:  map 56% reduce 18%
16/08/06 17:31:52 INFO mapreduce.Job:  map 56% reduce 19%
16/08/06 17:31:56 INFO mapreduce.Job:  map 57% reduce 19%
16/08/06 17:32:07 INFO mapreduce.Job:  map 58% reduce 19%
16/08/06 17:32:18 INFO mapreduce.Job:  map 59% reduce 19%
16/08/06 17:32:24 INFO mapreduce.Job:  map 59% reduce 20%
16/08/06 17:32:28 INFO mapreduce.Job:  map 60% reduce 20%
16/08/06 17:32:39 INFO mapreduce.Job:  map 61% reduce 20%
16/08/06 17:32:50 INFO mapreduce.Job:  map 62% reduce 20%
16/08/06 17:32:57 INFO mapreduce.Job:  map 62% reduce 21%
16/08/06 17:33:00 INFO mapreduce.Job:  map 63% reduce 21%
16/08/06 17:33:12 INFO mapreduce.Job:  map 64% reduce 21%
16/08/06 17:33:23 INFO mapreduce.Job:  map 65% reduce 21%
16/08/06 17:33:30 INFO mapreduce.Job:  map 65% reduce 22%
16/08/06 17:33:33 INFO mapreduce.Job:  map 66% reduce 22%
16/08/06 17:33:43 INFO mapreduce.Job:  map 67% reduce 22%
16/08/06 17:33:55 INFO mapreduce.Job:  map 68% reduce 22%
16/08/06 17:34:02 INFO mapreduce.Job:  map 68% reduce 23%
16/08/06 17:34:05 INFO mapreduce.Job:  map 69% reduce 23%
16/08/06 17:34:15 INFO mapreduce.Job:  map 70% reduce 23%
16/08/06 17:34:27 INFO mapreduce.Job:  map 71% reduce 23%
16/08/06 17:34:35 INFO mapreduce.Job:  map 71% reduce 24%
16/08/06 17:34:37 INFO mapreduce.Job:  map 72% reduce 24%
16/08/06 17:34:48 INFO mapreduce.Job:  map 73% reduce 24%
16/08/06 17:34:59 INFO mapreduce.Job:  map 74% reduce 24%
16/08/06 17:35:07 INFO mapreduce.Job:  map 74% reduce 25%
16/08/06 17:35:10 INFO mapreduce.Job:  map 75% reduce 25%
16/08/06 17:35:20 INFO mapreduce.Job:  map 76% reduce 25%
16/08/06 17:35:31 INFO mapreduce.Job:  map 77% reduce 25%
16/08/06 17:35:39 INFO mapreduce.Job:  map 77% reduce 26%
16/08/06 17:35:43 INFO mapreduce.Job:  map 78% reduce 26%
16/08/06 17:35:53 INFO mapreduce.Job:  map 79% reduce 26%
16/08/06 17:36:04 INFO mapreduce.Job:  map 80% reduce 26%
16/08/06 17:36:12 INFO mapreduce.Job:  map 80% reduce 27%
16/08/06 17:36:14 INFO mapreduce.Job:  map 81% reduce 27%
16/08/06 17:36:26 INFO mapreduce.Job:  map 82% reduce 27%
16/08/06 17:36:36 INFO mapreduce.Job:  map 83% reduce 27%
16/08/06 17:36:45 INFO mapreduce.Job:  map 83% reduce 28%
16/08/06 17:36:46 INFO mapreduce.Job:  map 84% reduce 28%
16/08/06 17:36:58 INFO mapreduce.Job:  map 85% reduce 28%
16/08/06 17:37:08 INFO mapreduce.Job:  map 86% reduce 28%
16/08/06 17:37:17 INFO mapreduce.Job:  map 86% reduce 29%
16/08/06 17:37:19 INFO mapreduce.Job:  map 87% reduce 29%
16/08/06 17:37:30 INFO mapreduce.Job:  map 88% reduce 29%
16/08/06 17:37:40 INFO mapreduce.Job:  map 89% reduce 29%
16/08/06 17:37:50 INFO mapreduce.Job:  map 89% reduce 30%
16/08/06 17:37:52 INFO mapreduce.Job:  map 90% reduce 30%
16/08/06 17:38:02 INFO mapreduce.Job:  map 91% reduce 30%
16/08/06 17:38:13 INFO mapreduce.Job:  map 92% reduce 30%
16/08/06 17:38:22 INFO mapreduce.Job:  map 92% reduce 31%
16/08/06 17:38:23 INFO mapreduce.Job:  map 93% reduce 31%
16/08/06 17:38:34 INFO mapreduce.Job:  map 94% reduce 31%
16/08/06 17:38:45 INFO mapreduce.Job:  map 95% reduce 31%
16/08/06 17:38:56 INFO mapreduce.Job:  map 96% reduce 32%
16/08/06 17:39:06 INFO mapreduce.Job:  map 97% reduce 32%
16/08/06 17:39:17 INFO mapreduce.Job:  map 98% reduce 32%
16/08/06 17:39:27 INFO mapreduce.Job:  map 99% reduce 33%
16/08/06 17:39:39 INFO mapreduce.Job:  map 100% reduce 33%
16/08/06 17:39:47 INFO mapreduce.Job:  map 100% reduce 44%
16/08/06 17:39:48 INFO mapreduce.Job:  map 100% reduce 54%
16/08/06 17:39:49 INFO mapreduce.Job:  map 100% reduce 66%
16/08/06 17:39:50 INFO mapreduce.Job:  map 100% reduce 96%
16/08/06 17:39:51 INFO mapreduce.Job:  map 100% reduce 100%
16/08/06 17:40:02 INFO mapreduce.Job: Job job_1470470958628_0002 completed successfully
16/08/06 17:40:02 INFO mapreduce.Job: Counters: 51
	File System Counters
		FILE: Number of bytes read=1679903965
		FILE: Number of bytes written=5310723134
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=67200689920
		HDFS: Number of bytes written=114949
		HDFS: Number of read operations=48384
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=256
	Job Counters 
		Killed map tasks=1
		Launched map tasks=16000
		Launched reduce tasks=128
		Data-local map tasks=15997
		Rack-local map tasks=3
		Total time spent by all maps in occupied slots (ms)=254506884
		Total time spent by all reduces in occupied slots (ms)=194290912
		Total time spent by all map tasks (ms)=127253442
		Total time spent by all reduce tasks (ms)=97145456
		Total vcore-milliseconds taken by all map tasks=127253442
		Total vcore-milliseconds taken by all reduce tasks=97145456
		Total megabyte-milliseconds taken by all map tasks=260615049216
		Total megabyte-milliseconds taken by all reduce tasks=198953893888
	Map-Reduce Framework
		Map input records=10217615
		Map output records=10213615096
		Map output bytes=107953110779
		Map output materialized bytes=1692191197
		Input split bytes=1632000
		Combine input records=10213615096
		Combine output records=124180859
		Reduce input groups=7776
		Reduce shuffle bytes=1692191197
		Reduce input records=124180859
		Reduce output records=7776
		Spilled Records=248361718
		Shuffled Maps =2048000
		Failed Shuffles=0
		Merged Map outputs=2048000
		GC time elapsed (ms)=3595683
		CPU time spent (ms)=73703010
		Physical memory (bytes) snapshot=6428389126144
		Virtual memory (bytes) snapshot=36866483339264
		Total committed heap usage (bytes)=7968326287360
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=67199057920
	File Output Format Counters 
		Bytes Written=114949

real	25m45.638s
user	0m15.900s
sys	0m1.411s
